"well","minutes","input","normalised_fluorescence","conc"
"A1",0,"spike 10^6",0,"1:50"
"A4",0,"spike 10^6",0,"1:60"
"A7",0,"spike 10^6",0,"1:70"
"A10",0,"spike 10^6",0,"1:80"
"B1",0,"spike 10^5",0,"1:50"
"B4",0,"spike 10^5",0,"1:60"
"B7",0,"spike 10^5",0,"1:70"
"B10",0,"spike 10^5",0,"1:80"
"C1",0,"spike 10^4",0,"1:50"
"C4",0,"spike 10^4",0,"1:60"
"C7",0,"spike 10^4",0,"1:70"
"C10",0,"spike 10^4",0,"1:80"
"D1",0,"spike 10^3",0,"1:50"
"D4",0,"spike 10^3",0,"1:60"
"D7",0,"spike 10^3",0,"1:70"
"D10",0,"spike 10^3",0,"1:80"
"E1",0,"spike 10^2",0,"1:50"
"E4",0,"spike 10^2",0,"1:60"
"E7",0,"spike 10^2",0,"1:70"
"E10",0,"spike 10^2",0,"1:80"
"F1",0,"spike 10",0,"1:50"
"F4",0,"spike 10",0,"1:60"
"F7",0,"spike 10",0,"1:70"
"F10",0,"spike 10",0,"1:80"
"G1",0,"no template",0,"1:50"
"G4",0,"no template",0,"1:60"
"G7",0,"no template",0,"1:70"
"G10",0,"no template",0,"1:80"
"A1",12.38,"spike 10^6",0.000882774867245306,"1:50"
"A4",12.38,"spike 10^6",0.0123414152067589,"1:60"
"A7",12.38,"spike 10^6",0.0291986350973565,"1:70"
"A10",12.38,"spike 10^6",0.0345591879275424,"1:80"
"B1",12.38,"spike 10^5",-0.000924028179427827,"1:50"
"B4",12.38,"spike 10^5",0.00772471232822936,"1:60"
"B7",12.38,"spike 10^5",0.00307357290904342,"1:70"
"B10",12.38,"spike 10^5",-0.00167599744440383,"1:80"
"C1",12.38,"spike 10^4",-0.0135939317998244,"1:50"
"C4",12.38,"spike 10^4",-0.00697853945678739,"1:60"
"C7",12.38,"spike 10^4",0.0133700719305707,"1:70"
"C10",12.38,"spike 10^4",-0.00961426106074525,"1:80"
"D1",12.38,"spike 10^3",0.00278350222216162,"1:50"
"D4",12.38,"spike 10^3",-0.0110792450835921,"1:60"
"D7",12.38,"spike 10^3",0.0156258376007996,"1:70"
"D10",12.38,"spike 10^3",-0.00611155190183021,"1:80"
"E1",12.38,"spike 10^2",0.0261048455908708,"1:50"
"E4",12.38,"spike 10^2",0.00707602300892618,"1:60"
"E7",12.38,"spike 10^2",0.0233003039166242,"1:70"
"E10",12.38,"spike 10^2",0.00302604673147067,"1:80"
"F1",12.38,"spike 10",0.0321341364038501,"1:50"
"F4",12.38,"spike 10",0.00709952633234745,"1:60"
"F7",12.38,"spike 10",0.0451011966983779,"1:70"
"F10",12.38,"spike 10",0.00209684566490465,"1:80"
"G1",12.38,"no template",0,"1:50"
"G4",12.38,"no template",0,"1:60"
"G7",12.38,"no template",0,"1:70"
"G10",12.38,"no template",0,"1:80"
"A1",26.2,"spike 10^6",0.36043142019672,"1:50"
"A4",26.2,"spike 10^6",0.472110645870759,"1:60"
"A7",26.2,"spike 10^6",0.463781720040789,"1:70"
"A10",26.2,"spike 10^6",0.465082621781102,"1:80"
"B1",26.2,"spike 10^5",0.314096476489074,"1:50"
