"well","minutes","input","normalised_fluorescence","conc"
"E3",39.98,"spike 10^2",-0.0553642098916332,"1:50"
"E6",39.98,"spike 10^2",-0.0187982554532515,"1:60"
"E9",39.98,"spike 10^2",-0.032491407992244,"1:70"
"E12",39.98,"spike 10^2",-0.142018550911625,"1:80"
"F3",39.98,"spike 10",-0.0805247031003642,"1:50"
"F6",39.98,"spike 10",-0.0206445464278111,"1:60"
"F9",39.98,"spike 10",0.0147543534823589,"1:70"
"F12",39.98,"spike 10",-0.133718530587426,"1:80"
"G3",39.98,"no template",0,"1:50"
"G6",39.98,"no template",0,"1:60"
"G9",39.98,"no template",0,"1:70"
"G12",39.98,"no template",0,"1:80"
"A3",54.15,"spike 10^6",-0.0477280813281764,"1:50"
"A6",54.15,"spike 10^6",-0.00243996779092481,"1:60"
"A9",54.15,"spike 10^6",0.0254749322203291,"1:70"
"A12",54.15,"spike 10^6",0.0238194830423866,"1:80"
"B3",54.15,"spike 10^5",-0.0527408738257427,"1:50"
"B6",54.15,"spike 10^5",-0.0130907068288868,"1:60"
"B9",54.15,"spike 10^5",-0.0230812326331717,"1:70"
"B12",54.15,"spike 10^5",-0.102682360786379,"1:80"
"C3",54.15,"spike 10^4",-0.0412190769239356,"1:50"
"C6",54.15,"spike 10^4",-0.0244365832774047,"1:60"
"C9",54.15,"spike 10^4",-0.0179482769108779,"1:70"
"C12",54.15,"spike 10^4",-0.0831169693114315,"1:80"
"D3",54.15,"spike 10^3",-0.0368357712814675,"1:50"
"D6",54.15,"spike 10^3",-0.0181168616932763,"1:60"
"D9",54.15,"spike 10^3",0.00368885524428286,"1:70"
"D12",54.15,"spike 10^3",-0.0864461663139309,"1:80"
"E3",54.15,"spike 10^2",-0.0480710885693503,"1:50"
"E6",54.15,"spike 10^2",-0.0388453162842148,"1:60"
"E9",54.15,"spike 10^2",-0.029364399198504,"1:70"
"E12",54.15,"spike 10^2",-0.144855037090474,"1:80"
"F3",54.15,"spike 10",-0.0720969559722227,"1:50"
"F6",54.15,"spike 10",-0.0262179205894033,"1:60"
"F9",54.15,"spike 10",0.0116323226656405,"1:70"
"F12",54.15,"spike 10",-0.126672991023044,"1:80"
"G3",54.15,"no template",0,"1:50"
"G6",54.15,"no template",0,"1:60"
"G9",54.15,"no template",0,"1:70"
"G12",54.15,"no template",0,"1:80"
"A3",67.92,"spike 10^6",-0.0207577693816665,"1:50"
"A6",67.92,"spike 10^6",0.0070646247597681,"1:60"
"A9",67.92,"spike 10^6",0.0287693882837774,"1:70"
"A12",67.92,"spike 10^6",0.00833993957884327,"1:80"
"B3",67.92,"spike 10^5",-0.0290368196857276,"1:50"
"B6",67.92,"spike 10^5",-0.0148433480099697,"1:60"
"B9",67.92,"spike 10^5",-0.0320386354485038,"1:70"
"B12",67.92,"spike 10^5",-0.119378720712739,"1:80"
"C3",67.92,"spike 10^4",-0.0293015708921025,"1:50"
"C6",67.92,"spike 10^4",-0.0265537237574209,"1:60"
"C9",67.92,"spike 10^4",-0.0110338719080887,"1:70"
"C12",67.92,"spike 10^4",-0.0866099315765376,"1:80"
"D3",67.92,"spike 10^3",-0.0355212009704264,"1:50"
"D6",67.92,"spike 10^3",-0.0105708849386734,"1:60"
"D9",67.92,"spike 10^3",0.007582539332458,"1:70"
"D12",67.92,"spike 10^3",-0.0822548267719219,"1:80"
"E3",67.92,"spike 10^2",-0.0499708459689252,"1:50"
"E6",67.92,"spike 10^2",-0.026885030875295,"1:60"
"E9",67.92,"spike 10^2",-0.014062988369395,"1:70"
"E12",67.92,"spike 10^2",-0.162412339530741,"1:80"
"F3",67.92,"spike 10",-0.0543799082346095,"1:50"
"F6",67.92,"spike 10",-0.0183435931978266,"1:60"
"F9",67.92,"spike 10",0.0308817537196122,"1:70"
"F12",67.92,"spike 10",-0.137605207246492,"1:80"
"G3",67.92,"no template",0,"1:50"
"G6",67.92,"no template",0,"1:60"
"G9",67.92,"no template",0,"1:70"
"G12",67.92,"no template",0,"1:80"
"A3",81.68,"spike 10^6",-0.0288512179481892,"1:50"
"A6",81.68,"spike 10^6",0.0229485026574139,"1:60"
"A9",81.68,"spike 10^6",0.0249734005855164,"1:70"
"A12",81.68,"spike 10^6",0.00103090796983096,"1:80"
"B3",81.68,"spike 10^5",-0.04556264072003,"1:50"
"B6",81.68,"spike 10^5",-0.00782329043183005,"1:60"
"B9",81.68,"spike 10^5",-0.0340202369778047,"1:70"
"B12",81.68,"spike 10^5",-0.111140432018682,"1:80"
"C3",81.68,"spike 10^4",-0.0279634639145434,"1:50"
"C6",81.68,"spike 10^4",-0.00456379160752318,"1:60"
"C9",81.68,"spike 10^4",-0.0369906933790685,"1:70"
"C12",81.68,"spike 10^4",-0.0907016814111268,"1:80"
"D3",81.68,"spike 10^3",-0.0427253118884008,"1:50"
"D6",81.68,"spike 10^3",-0.00641805369757265,"1:60"
"D9",81.68,"spike 10^3",-0.00978151620830525,"1:70"
"D12",81.68,"spike 10^3",-0.0877030611323084,"1:80"
"E3",81.68,"spike 10^2",-0.0610452906286187,"1:50"
"E6",81.68,"spike 10^2",-0.0275907020885542,"1:60"
"E9",81.68,"spike 10^2",-0.036329888966675,"1:70"
"E12",81.68,"spike 10^2",-0.142766998729741,"1:80"
"F3",81.68,"spike 10",-0.0754063600546935,"1:50"
"F6",81.68,"spike 10",-0.00572451563530696,"1:60"
"F9",81.68,"spike 10",0.0106943970882496,"1:70"
"F12",81.68,"spike 10",-0.140097291240248,"1:80"
"G3",81.68,"no template",0,"1:50"
"G6",81.68,"no template",0,"1:60"
"G9",81.68,"no template",0,"1:70"
"G12",81.68,"no template",0,"1:80"
"A3",96.17,"spike 10^6",-0.00577047373460671,"1:50"
"A6",96.17,"spike 10^6",0.0379918547276776,"1:60"
"A9",96.17,"spike 10^6",0.0633839160188894,"1:70"
"A12",96.17,"spike 10^6",0.0209186394439733,"1:80"
"B3",96.17,"spike 10^5",-0.0267186552937819,"1:50"
"B6",96.17,"spike 10^5",0.00607324621427208,"1:60"
"B9",96.17,"spike 10^5",-0.0137109180589625,"1:70"
"B12",96.17,"spike 10^5",-0.109486543912261,"1:80"
"C3",96.17,"spike 10^4",-0.0218188243675448,"1:50"
"C6",96.17,"spike 10^4",0.0135774951505645,"1:60"
"C9",96.17,"spike 10^4",0.00803612417050092,"1:70"
"C12",96.17,"spike 10^4",-0.0871292258521628,"1:80"
"D3",96.17,"spike 10^3",-0.0328986105153091,"1:50"
"D6",96.17,"spike 10^3",0.00445982858179428,"1:60"
"D9",96.17,"spike 10^3",0.0210097826895776,"1:70"
"D12",96.17,"spike 10^3",-0.0862048677934901,"1:80"
"E3",96.17,"spike 10^2",-0.0473616059949413,"1:50"
"E6",96.17,"spike 10^2",0.00042867318658546,"1:60"
"E9",96.17,"spike 10^2",-0.0152830008776679,"1:70"
"E12",96.17,"spike 10^2",-0.155014692107616,"1:80"
"F3",96.17,"spike 10",-0.0453347818790042,"1:50"
"F6",96.17,"spike 10",0.00496545814668714,"1:60"
"F9",96.17,"spike 10",0.0425028806629137,"1:70"
"F12",96.17,"spike 10",-0.13819834862844,"1:80"
"G3",96.17,"no template",0,"1:50"
"G6",96.17,"no template",0,"1:60"
"G9",96.17,"no template",0,"1:70"
"G12",96.17,"no template",0,"1:80"
"A3",110.13,"spike 10^6",0.00775566876866463,"1:50"
"A6",110.13,"spike 10^6",0.0240592641922539,"1:60"
"A9",110.13,"spike 10^6",0.0564018519132938,"1:70"
"A12",110.13,"spike 10^6",0.0121783926620618,"1:80"
"B3",110.13,"spike 10^5",-0.0360783918959304,"1:50"
"B6",110.13,"spike 10^5",0.00883263447000471,"1:60"
"B9",110.13,"spike 10^5",-0.00520164346453833,"1:70"
"B12",110.13,"spike 10^5",-0.113857133425487,"1:80"
"C3",110.13,"spike 10^4",-0.00775092302794955,"1:50"
"C6",110.13,"spike 10^4",0.0204286843337356,"1:60"
"C9",110.13,"spike 10^4",-0.00458418774013514,"1:70"
"C12",110.13,"spike 10^4",-0.0775621159251865,"1:80"
"D3",110.13,"spike 10^3",-0.0253942381860648,"1:50"
"D6",110.13,"spike 10^3",-0.0088109502076017,"1:60"
"D9",110.13,"spike 10^3",0.00496020650015705,"1:70"
"D12",110.13,"spike 10^3",-0.0775666736432432,"1:80"
"E3",110.13,"spike 10^2",-0.0337128254253272,"1:50"
