"well","minutes","input","normalised_fluorescence","conc"
"A2",0,"spike 10^6",0,"1:50"
"A5",0,"spike 10^6",0,"1:60"
"A8",0,"spike 10^6",0,"1:70"
"A11",0,"spike 10^6",0,"1:80"
"B2",0,"spike 10^5",0,"1:50"
"B5",0,"spike 10^5",0,"1:60"
"B8",0,"spike 10^5",0,"1:70"
"B11",0,"spike 10^5",0,"1:80"
"C2",0,"spike 10^4",0,"1:50"
"C5",0,"spike 10^4",0,"1:60"
"C8",0,"spike 10^4",0,"1:70"
"C11",0,"spike 10^4",0,"1:80"
"D2",0,"spike 10^3",0,"1:50"
"D5",0,"spike 10^3",0,"1:60"
"D8",0,"spike 10^3",0,"1:70"
"D11",0,"spike 10^3",0,"1:80"
"E2",0,"spike 10^2",0,"1:50"
"E5",0,"spike 10^2",0,"1:60"
"E8",0,"spike 10^2",0,"1:70"
"E11",0,"spike 10^2",0,"1:80"
"F2",0,"spike 10",0,"1:50"
"F5",0,"spike 10",0,"1:60"
"F8",0,"spike 10",0,"1:70"
"F11",0,"spike 10",0,"1:80"
"G2",0,"no template",0,"1:50"
"G5",0,"no template",0,"1:60"
"G8",0,"no template",0,"1:70"
"G11",0,"no template",0,"1:80"
"A2",12.38,"spike 10^6",-0.0940198212107464,"1:50"
"A5",12.38,"spike 10^6",-0.0371066902416028,"1:60"
"A8",12.38,"spike 10^6",-0.0235924482945333,"1:70"
"A11",12.38,"spike 10^6",0.00261256192597781,"1:80"
"B2",12.38,"spike 10^5",-0.0531131412603667,"1:50"
"B5",12.38,"spike 10^5",-0.0311416134181388,"1:60"
"B8",12.38,"spike 10^5",-0.0116539292773716,"1:70"
"B11",12.38,"spike 10^5",0.00458317222531845,"1:80"
"C2",12.38,"spike 10^4",-0.0720400273682589,"1:50"
"C5",12.38,"spike 10^4",-0.0585403773826447,"1:60"
"C8",12.38,"spike 10^4",0.00517775874324733,"1:70"
"C11",12.38,"spike 10^4",0.0204420743443183,"1:80"
"D2",12.38,"spike 10^3",-0.0583733843381693,"1:50"
"D5",12.38,"spike 10^3",-0.0304139137159776,"1:60"
"D8",12.38,"spike 10^3",-0.0142193445608547,"1:70"
"D11",12.38,"spike 10^3",0.000405439139793629,"1:80"
"E2",12.38,"spike 10^2",-0.0498028718975057,"1:50"
"E5",12.38,"spike 10^2",-0.0415846286216597,"1:60"
"E8",12.38,"spike 10^2",-0.0179210677498798,"1:70"
"E11",12.38,"spike 10^2",-0.0147367014041215,"1:80"
"F2",12.38,"spike 10",-0.0348423056708396,"1:50"
"F5",12.38,"spike 10",-0.0289215677992936,"1:60"
"F8",12.38,"spike 10",-0.00780468221573827,"1:70"
"F11",12.38,"spike 10",0.0115661285405828,"1:80"
"G2",12.38,"no template",0,"1:50"
"G5",12.38,"no template",0,"1:60"
"G8",12.38,"no template",0,"1:70"
"G11",12.38,"no template",0,"1:80"
"A2",26.2,"spike 10^6",0.0286475538175626,"1:50"
"A5",26.2,"spike 10^6",0.0856446037171747,"1:60"
"A8",26.2,"spike 10^6",0.066674598632666,"1:70"
"A11",26.2,"spike 10^6",0.126856668984619,"1:80"
"B2",26.2,"spike 10^5",-0.0249598001108369,"1:50"
"B5",26.2,"spike 10^5",0.0172342646874528,"1:60"
"B8",26.2,"spike 10^5",0.0224062147952733,"1:70"
"B11",26.2,"spike 10^5",0.0200548840900929,"1:80"
"C2",26.2,"spike 10^4",-0.0641148762846311,"1:50"
"C5",26.2,"spike 10^4",-0.00484814670765643,"1:60"
"C8",26.2,"spike 10^4",0.0273517765750306,"1:70"
"C11",26.2,"spike 10^4",0.0171220281986879,"1:80"
"D2",26.2,"spike 10^3",-0.0620552321840933,"1:50"
"D5",26.2,"spike 10^3",0.0109844019898446,"1:60"
"D8",26.2,"spike 10^3",-0.0186916284678424,"1:70"
"D11",26.2,"spike 10^3",-0.00404178675546829,"1:80"
"E2",26.2,"spike 10^2",-0.0248290689887178,"1:50"
"E5",26.2,"spike 10^2",-0.0260293335257127,"1:60"
"E8",26.2,"spike 10^2",-0.0126878267474686,"1:70"
"E11",26.2,"spike 10^2",-0.0584940855982761,"1:80"
"F2",26.2,"spike 10",-0.0218343839913271,"1:50"
"F5",26.2,"spike 10",-0.0180571659164033,"1:60"
"F8",26.2,"spike 10",-0.00481805932383517,"1:70"
"F11",26.2,"spike 10",0.022994697239727,"1:80"
"G2",26.2,"no template",0,"1:50"
