"","t1","t2","t3","t4","t5","t6","t7","t8"
"C7",1.09146148382072,1.09813853254599,1.09548513978604,1.08994953509437,1.09116578083477,1.08892994935521,1.07709752736737,1.07822056391122
"D7",1.06589814030313,1.05497861942578,1.05950867199023,1.05826570789508,1.04401477254963,1.04895024556499,1.04441935236929,1.04497634342424
"E7",1.05062175323286,1.02641179664698,1.02610921791025,1.00933508327634,1.02576403001407,1.01597847835869,1.01691801270765,1.0163672731469
"F7",1.17725743921538,1.16014219778728,1.15529898445315,1.15538754459582,1.14693410973894,1.1565105837075,1.14420500650693,1.14567065430627
"G7",1.13944731144146,1.11047478449739,1.09641761185426,1.10002403090744,1.09405776145068,1.09653145433831,1.09443657659037,1.09514559372235
"H7",1.12582265697878,1.09493993076766,1.08927996202296,1.0850878976653,1.10047678599343,1.10108852785463,1.08205427543443,1.08922183328846
"A8",0.922051914041439,1.00872191678545,1.01386840276012,1.00776383163577,0.997616070032828,1.006194173456,1,1.00908758702927
"B8",0.967898191652332,0.989971492567705,0.986436769916756,0.978825073479121,0.975476785993434,0.983868342699587,0.978297481436117,0.978430203485018
"C8",0.971800730870283,0.994637887735017,1.00012715528203,1.00555483668226,0.986595279037049,0.991374110844112,0.986641659649391,0.99094126245336
"D8",1.11203539671536,1.09514355528406,1.08851703033077,1.0815849307725,1.08591918086603,1.09365934918097,1.08023616320906,1.09829018732931
"E8",1.0187167834861,1.00355494468201,0.999745689435939,0.999279072776679,1.00765984055026,1.01897504140618,0.99500497588609,0.998951802131015
"F8",1.18107439643294,1.17360686893369,1.16436939457132,1.16009205686082,1.1608078005315,1.16791284118216,1.15956327030544,1.15692195253298
"G8",1.07318116853663,1.07583316364624,1.06124646084465,1.05704567720946,1.07401907143974,1.06459364498866,1.06272487177524,1.05319844597454
"H8",0.999820277799173,0.992966469829634,0.999118390044589,0.999463925910864,1,1.00813763127914,1.01103307050448,1.02116590375813
"A9",0.964166816435167,0.999966062580601,1.02038723021888,1,1.00361497576989,1,1.00661218709332,1.01303996614994
"B9",1.01478856966803,1.01293015679088,1.00261939880983,1.00024955173115,0.996824683445365,1.00253702622232,1.00171285309653,0.99082586452283
"C9",1.05439591945022,1.03800142537161,1.04613193632063,1.05284026840675,1.04228544630295,1.02537983590706,1.02807548036439,1.02821479401469
"D9",0.93055876488057,0.940439828955406,0.949671939372361,0.947991570697081,0.944896045021104,0.949441375546897,0.932548036438797,0.944051236681156
"E9",0.908872285980812,0.911279101337134,0.926605971212044,0.906741593803723,0.905033609504455,0.904100408796301,0.909859909668529,0.903094587837058
"F9",1.03359093515452,1.02429070793457,1.02280318057745,1.02224707469915,1.01690245427544,1.03233033038783,1.01507119344714,1.01213601569412
"G9",1.14696141107602,1.13642842598249,1.13008833053592,1.121272898682,1.12942590276692,1.12947450049304,1.11951695628875,1.11932146016848
"H9",1.00496375602283,0.993628249507907,0.982121967346524,0.978575521747971,1.00280404877286,0.998449063215034,0.994296869019368,1
"A10",0.957671142605287,0.966121971085319,0.950935015173864,0.944229809416419,0.947846646865718,0.953213406986875,0.938232029396004,0.947647805516021
"B10",0.951791659178242,0.924429851354103,0.937380262109421,0.928886999279073,0.938281616382679,0.932352349860703,0.935294342800276,0.931905604492826
"C10",0.993598466370553,0.97575171383968,0.973907736127359,0.9721056620515,0.964436454588088,0.973461748346146,0.957953762535405,0.971188983344232
"D10",0.998605013393583,0.998608565804656,0.99627858874591,1.00402055566852,0.981123964358293,0.995778005418705,0.987388042562964,0.995711043581952
"E10",0.970636815664929,0.969532681734881,0.981579438143194,0.967863282621957,0.96779740503361,0.97589346404603,0.971714001377938,0.975574104704389
"F10",0.973084460876188,0.951461005905111,0.949849956767204,0.951845758544836,0.959268016257621,0.96106382775028,0.95735091479752,0.950157710505058
"G10",1.07258209453388,1.06307269395235,1.05044673889087,1.05530805774812,1.05966664061279,1.05687725579926,1.0415869249024,1.05319844597454
"H10",1.00988472104547,0.988681870630557,0.985614499092959,0.982808658520805,0.99915976238862,0.994265363369171,1.00014353517569,1.00163480401585
"A11",0.984655147329414,0.963559695920722,0.954088466168218,0.943176146551565,0.949595513521963,0.956085512144218,0.94666232871469,0.944685925299073
"B11",0.880587434850702,0.867542252087151,0.864978044521303,0.859372978168845,0.858419962482414,0.863661168180904,0.854771109239838,0.864772858406739
"C11",0.917661557421243,0.91459648408335,0.916348778461591,0.912139305321922,0.907036501485071,0.913616650550966,0.89835795759014,0.914220871639035
"D11",0.899680779138532,0.902625059390484,0.903090721055219,0.890548459249127,0.897471471002032,0.898250887959178,0.895726479369211,0.90289264145863
"E11",0.923566715448407,0.947863639448856,0.951341912076361,0.960034752389227,0.960518602469908,0.973844695700459,0.965025262190921,0.97282378736008
"F11",0.974111444880913,0.95568621462024,0.95342725870166,0.946882451891972,0.957695013287479,0.962997711889558,0.950968383985302,0.963139977689733
"G11",1.0915641822212,1.0693680852508,1.0669006323856,1.06847884355879,1.07271963420353,1.07188879208831,1.06294495904463,1.07228718698311
"H11",1.02353505010826,1.01582332179461,1.01358018412085,1.00138639850639,1.02347780209473,1.01492537313433,1.01294687284697,1.01321306304574
"A12",0.974659169683432,0.963525758501324,0.982808605869488,0.974323899661719,0.981807878693137,0.968406843269222,0.971895812600475,0.973670038850637
"B12",0.94219791693411,0.915784293762302,0.923808555007375,0.916280015527663,0.928120603407847,0.924090260691411,0.922223072801041,0.917980920875486
"C12",0.922822152044982,0.944139007669857,0.94979061763559,0.946041370131431,0.952507034547444,0.948780791360708,0.935256066753426,0.949138362118706
"D12",0.927666093267264,0.948364216384986,0.934065747757829,0.92292548570161,0.945013287478506,0.923764755440246,0.929840006124168,0.933425010578144
"E12",0.874100319220862,0.95248761284192,0.962862180628317,0.942917352163706,0.940958652493356,0.93918796013518,0.934050371277654,0.940627764742086
"F12",0.982575504719847,1.02240718115794,1.03034772731126,1.03040834057341,1.03326754728779,1.03009966204896,1.03142463446375,1.02444512828403
"G12",0.956644158600563,0.948652684449874,0.950095790312463,0.941327615209716,0.943020165702673,0.943342938929471,0.93066294113144,0.94078162864946
"H12",0.993555675370356,1.00851829226906,1,1.01418747804869,1.02417148663436,1.01310637320134,1.00218173467044,1.00923183444244
