"well","minutes","input","normalised_fluorescence"
"A3",3.75,"spike 10^4",0
"B3",3.75,"spike 10^3",0
"C3",3.75,"spike 10^2",0
"D3",3.75,"spike 10",0
"E3",3.75,"no template",0
"A3",18.5,"spike 10^4",0.127355356368547
"B3",18.5,"spike 10^3",0.0462659254470781
"C3",18.5,"spike 10^2",0.0215934038998489
"D3",18.5,"spike 10",0.0388009282891899
"E3",18.5,"no template",0
"A3",31.75,"spike 10^4",0.392939457849071
"B3",31.75,"spike 10^3",0.285755464282859
"C3",31.75,"spike 10^2",0.194652423701077
"D3",31.75,"spike 10",0.119450116150915
"E3",31.75,"no template",0
"A3",45.15,"spike 10^4",0.434923778806367
"B3",45.15,"spike 10^3",0.353594607968151
"C3",45.15,"spike 10^2",0.303062131836676
"D3",45.15,"spike 10",0.311774415862984
"E3",45.15,"no template",0
"A3",58.5,"spike 10^4",0.434877387626603
"B3",58.5,"spike 10^3",0.332247576338017
"C3",58.5,"spike 10^2",0.30530692492743
"D3",58.5,"spike 10",0.313210460959624
"E3",58.5,"no template",0
"A3",71.7,"spike 10^4",0.395804551021105
"B3",71.7,"spike 10^3",0.307141280629336
"C3",71.7,"spike 10^2",0.276585816857737
"D3",71.7,"spike 10",0.303470528255783
"E3",71.7,"no template",0
"A3",84.75,"spike 10^4",0.419131468160147
"B3",84.75,"spike 10^3",0.327915670375533
"C3",84.75,"spike 10^2",0.305699875189236
"D3",84.75,"spike 10",0.332463991645221
"E3",84.75,"no template",0
"A3",103.5,"spike 10^4",0.412644048877045
"B3",103.5,"spike 10^3",0.319682287603177
"C3",103.5,"spike 10^2",0.295389451134189
"D3",103.5,"spike 10",0.337056078173462
"E3",103.5,"no template",0
