"well","minutes","input","normalised_fluorescence"
"A5",3.75,"spike 10^4",0
"B5",3.75,"spike 10^3",0
"C5",3.75,"spike 10^2",0
"D5",3.75,"spike 10",0
"E5",3.75,"no template",0
"A5",18.5,"spike 10^4",0.00559728501481294
"B5",18.5,"spike 10^3",6.98059231829529e-05
"C5",18.5,"spike 10^2",0.00576469205988639
"D5",18.5,"spike 10",0.0406338861412989
"E5",18.5,"no template",0
"A5",31.75,"spike 10^4",0.0928875952700072
"B5",31.75,"spike 10^3",-0.00665913845412014
"C5",31.75,"spike 10^2",-0.0070956467026364
"D5",31.75,"spike 10",0.0411085297175262
"E5",31.75,"no template",0
"A5",45.15,"spike 10^4",0.390103936321794
"B5",45.15,"spike 10^3",0.31024638133703
"C5",45.15,"spike 10^2",0.386430569855483
"D5",45.15,"spike 10",0.0333529610478855
"E5",45.15,"no template",0
"A5",58.5,"spike 10^4",0.433784466801107
"B5",58.5,"spike 10^3",0.423539461604853
"C5",58.5,"spike 10^2",0.498036574138129
"D5",58.5,"spike 10",0.0591743951915551
"E5",58.5,"no template",0
"A5",71.7,"spike 10^4",0.441047727187973
"B5",71.7,"spike 10^3",0.429220677936553
"C5",71.7,"spike 10^2",0.503752002508752
"D5",71.7,"spike 10",0.0612577519683415
"E5",71.7,"no template",0
"A5",84.75,"spike 10^4",0.420268009638705
"B5",84.75,"spike 10^3",0.418271049016328
"C5",84.75,"spike 10^2",0.474217834304063
"D5",84.75,"spike 10",0.0537503272276563
"E5",84.75,"no template",0
"A5",103.5,"spike 10^4",0.436450680033861
"B5",103.5,"spike 10^3",0.433078251550969
"C5",103.5,"spike 10^2",0.49038281323563
"D5",103.5,"spike 10",0.0747995672233757
"E5",103.5,"no template",0
