"well","minutes","input","normalised_fluorescence"
"A2",3.75,"spike 10^4",0
"B2",3.75,"spike 10^3",0
"C2",3.75,"spike 10^2",0
"D2",3.75,"spike 10",0
"E2",3.75,"no template",0
"A2",18.5,"spike 10^4",-0.028808483449364
"B2",18.5,"spike 10^3",-0.00651475791019096
"C2",18.5,"spike 10^2",-0.0146957652159818
"D2",18.5,"spike 10",0.00759891312218763
"E2",18.5,"no template",0
"A2",31.75,"spike 10^4",0.0973825118003881
"B2",31.75,"spike 10^3",0.101192172065281
"C2",31.75,"spike 10^2",-0.00995324345088644
"D2",31.75,"spike 10",0.00537083117582227
"E2",31.75,"no template",0
"A2",45.15,"spike 10^4",0.295010172339974
"B2",45.15,"spike 10^3",0.332060282370208
"C2",45.15,"spike 10^2",0.248690171613021
"D2",45.15,"spike 10",0.0309428407998025
"E2",45.15,"no template",0
"A2",58.5,"spike 10^4",0.3083455152227
"B2",58.5,"spike 10^3",0.352654594465276
"C2",58.5,"spike 10^2",0.318999594888898
"D2",58.5,"spike 10",0.00721919082736378
"E2",58.5,"no template",0
"A2",71.7,"spike 10^4",0.303477771586989
"B2",71.7,"spike 10^3",0.351526497098873
"C2",71.7,"spike 10^2",0.307313238401886
"D2",71.7,"spike 10",0.0202121736994747
"E2",71.7,"no template",0
"A2",84.75,"spike 10^4",0.306685083018219
"B2",84.75,"spike 10^3",0.352800302376544
"C2",84.75,"spike 10^2",0.29200096042292
"D2",84.75,"spike 10",0.0215368863063423
"E2",84.75,"no template",0
"A2",103.5,"spike 10^4",0.296804820952166
"B2",103.5,"spike 10^3",0.342424626326254
"C2",103.5,"spike 10^2",0.30845992963586
"D2",103.5,"spike 10",-0.000754529342931187
"E2",103.5,"no template",0
