"well","minutes","input","normalised_fluorescence"
"A1",3.75,"spike 10^4",0
"B1",3.75,"spike 10^3",0
"C1",3.75,"spike 10^2",0
"D1",3.75,"spike 10",0
"E1",3.75,"no template",0
"A1",18.5,"spike 10^4",-0.0373285754498571
"B1",18.5,"spike 10^3",-0.0288477011265753
"C1",18.5,"spike 10^2",-0.00501916148052528
"D1",18.5,"spike 10",-0.0305159541447562
"E1",18.5,"no template",0
"A1",31.75,"spike 10^4",0.13590843369662
"B1",31.75,"spike 10^3",0.0496399884831988
"C1",31.75,"spike 10^2",0.0265032677187007
"D1",31.75,"spike 10",-0.0253011052683561
"E1",31.75,"no template",0
"A1",45.15,"spike 10^4",0.313985096685558
"B1",45.15,"spike 10^3",0.2926138996636
"C1",45.15,"spike 10^2",0.271621607824142
"D1",45.15,"spike 10",0.205600314046344
"E1",45.15,"no template",0
"A1",58.5,"spike 10^4",0.323211066548937
"B1",58.5,"spike 10^3",0.304823774266048
"C1",58.5,"spike 10^2",0.416213678994685
"D1",58.5,"spike 10",0.344476529700963
"E1",58.5,"no template",0
"A1",71.7,"spike 10^4",0.289772671862869
"B1",71.7,"spike 10^3",0.289858405522174
"C1",71.7,"spike 10^2",0.393897589820775
"D1",71.7,"spike 10",0.340060315761763
"E1",71.7,"no template",0
"A1",84.75,"spike 10^4",0.335779105557979
"B1",84.75,"spike 10^3",0.307141814624355
"C1",84.75,"spike 10^2",0.409384486849995
"D1",84.75,"spike 10",0.339818105334522
"E1",84.75,"no template",0
"A1",103.5,"spike 10^4",0.303997880107811
"B1",103.5,"spike 10^3",0.331931849151301
"C1",103.5,"spike 10^2",0.406283285621113
"D1",103.5,"spike 10",0.322848122480253
"E1",103.5,"no template",0
