User: USER,Path: C:\Program Files (x86)\BMG\Omega\User\Data\,Test run no.: 415,,,,,,,,
Test name: QUICK FI TOP,Date: 17/07/2016,Time: 16:59:56,,,,,,,,
ID1: QUICK FI TOP,,,,,,,,,,
Fluorescence (FI),,,,,,,,,,
,,,,,,,,,,
Well Row,Well Col,Content,Raw Data (485/520),Raw Data (485/520),Raw Data (485/520),Raw Data (485/520),Raw Data (485/520),Raw Data (485/520),Raw Data (485/520),Raw Data (485/520)
,,Time,0 min ,11 min 8 s,23 min 21 s,36 min 29 s,51 min 28 s,62 min 51 s,74 min 39 s,86 min 4 s
F,11,Sample X71,115454,112590,113431,112782,114483,115344,116472,110628
G,11,Sample X83,125862,123572,126463,124511,126156,125248,126820,121663
H,11,Sample X95,110460,111451,112432,114199,115170,113805,117200,111505
A,12,Sample X12,104941,101090,102498,103722,105335,104306,105430,100563
B,12,Sample X24,105454,103314,103892,104742,105100,106396,108080,103000
C,12,Sample X36,104904,104413,104929,104576,107619,106858,107593,103151
D,12,Sample X48,106785,103864,104930,105348,107284,107581,109346,105479
E,12,Sample X60,100870,99982,100853,100820,101907,102119,102640,99083
F,12,Sample X72,112592,111988,112767,111958,113917,113227,116490,112110
G,12,Sample X84,103709,100820,102159,101913,103782,104042,104280,100170
H,12,Sample X96,104914,102875,104758,104290,104778,104256,106948,103269
