"well","minutes","input","normalised_fluorescence"
"B3",10.5,"Twist 10^5",0
"C3",10.5,"spike 10^9",0
"D3",10.5,"spike 10^8",0
"E3",10.5,"spike 10^7",0
"G3",10.5,"no template",0
"B3",23.8,"Twist 10^5",0.020196080510581
"C3",23.8,"spike 10^9",0.021614256278832
"D3",23.8,"spike 10^8",2.0331448688651
"E3",23.8,"spike 10^7",0.071717038722275
"G3",23.8,"no template",0
"B3",37.7,"Twist 10^5",-0.0146367517879773
"C3",37.7,"spike 10^9",0.772387481777352
"D3",37.7,"spike 10^8",3.66497715615803
"E3",37.7,"spike 10^7",1.89826266756102
"G3",37.7,"no template",0
"B3",41.15,"Twist 10^5",0.0435268163527893
"C3",41.15,"spike 10^9",1.41793591058467
"D3",41.15,"spike 10^8",3.70466279596734
"E3",41.15,"spike 10^7",2.51874577130664
"G3",41.15,"no template",0
"B3",52.35,"Twist 10^5",0.0325916736376004
"C3",52.35,"spike 10^9",2.38295094985162
"D3",52.35,"spike 10^8",4.07843062260175
"E3",52.35,"spike 10^7",3.73058129823364
"G3",52.35,"no template",0
"B3",65.8,"Twist 10^5",0.0477480887376722
"C3",65.8,"spike 10^9",2.45620993839095
"D3",65.8,"spike 10^8",4.10991285954902
"E3",65.8,"spike 10^7",3.85954194007211
"G3",65.8,"no template",0
"B3",77.3,"Twist 10^5",0.146971806147026
"C3",77.3,"spike 10^9",2.39199753967588
"D3",77.3,"spike 10^8",4.04202572820817
"E3",77.3,"spike 10^7",3.81397381054861
"G3",77.3,"no template",0
"B3",90.4,"Twist 10^5",0.126375844560353
"C3",90.4,"spike 10^9",2.30913825209373
"D3",90.4,"spike 10^8",3.99902265940541
"E3",90.4,"spike 10^7",3.7849227900495
"G3",90.4,"no template",0
"B3",103.4,"Twist 10^5",0.352105308747323
"C3",103.4,"spike 10^9",2.56011134247553
"D3",103.4,"spike 10^8",4.04523025952303
"E3",103.4,"spike 10^7",3.83668239652899
"G3",103.4,"no template",0
"B3",117.1,"Twist 10^5",0.355720549477354
"C3",117.1,"spike 10^9",2.50890470236177
"D3",117.1,"spike 10^8",3.97913143018724
"E3",117.1,"spike 10^7",3.79161316671094
"G3",117.1,"no template",0
