User: USER,Path: C:\Program Files (x86)\BMG\Omega\User\Data\,Test run no.: 186,,,,,,,,,,
Test name: QUICK FI TOP,Date: 24/04/2016,Time: 20:30:25,,,,,,,,,,
,,,,,,,,,,,,
ID1: QUICK FI TOP,,,,,,,,,,,,
Fluorescence (FI),,,,,,,,,,,,
,,,,,,,,,,,,
Raw Data (485/520),,,,,,,,,,,,
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,39641,23626,22106,24305,41802,23922,16135,16622,16084,13746,14257,13786
B,39732,24305,21475,26167,40255,23554,16065,15537,16717,14678,13522,13576
C,40246,88755,60077,53202,52636,46365,17860,15502,17407,13534,14895,13091
D,50008,146476,86228,67343,57154,26090,16531,17430,16173,13840,14324,13500
E,45812,115250,82330,65355,61608,25427,16462,16740,15326,13628,13828,13948
F,79693,207751,151244,107413,81848,29710,16165,16617,16434,13760,14034,12972
G,52550,25079,23593,22337,22821,19996,15295,15612,18445,15824,14159,12884
H,34416,21793,21156,21625,21000,21935,15148,15712,15050,13563,11540,12615
