"well","minutes","input","normalised_fluorescence"
"B4",10.5,"Twist 10^5",0
"C4",10.5,"spike 10^9",0
"D4",10.5,"spike 10^8",0
"E4",10.5,"spike 10^7",0
"G4",10.5,"no template",0
"B4",23.8,"Twist 10^5",0.00280833020238025
"C4",23.8,"spike 10^9",-0.00477233650672759
"D4",23.8,"spike 10^8",1.30003131083947
"E4",23.8,"spike 10^7",0.121222070817611
"G4",23.8,"no template",0
"B4",37.7,"Twist 10^5",-0.0311558882345448
"C4",37.7,"spike 10^9",0.670259630068151
"D4",37.7,"spike 10^8",2.4533540869597
"E4",37.7,"spike 10^7",1.53282040674343
"G4",37.7,"no template",0
"B4",41.15,"Twist 10^5",-0.0228384277077416
"C4",41.15,"spike 10^9",1.24426681686323
"D4",41.15,"spike 10^8",2.68618321544186
"E4",41.15,"spike 10^7",2.07715252052413
"G4",41.15,"no template",0
"B4",52.35,"Twist 10^5",-0.0170668553302391
"C4",52.35,"spike 10^9",1.92075247545177
"D4",52.35,"spike 10^8",2.81642633188254
"E4",52.35,"spike 10^7",2.69378050764419
"G4",52.35,"no template",0
"B4",65.8,"Twist 10^5",0.00193699745082343
"C4",65.8,"spike 10^9",1.92812039701554
"D4",65.8,"spike 10^8",2.84650546097886
"E4",65.8,"spike 10^7",2.74431309140948
"G4",65.8,"no template",0
"B4",77.3,"Twist 10^5",0.0156817880444924
"C4",77.3,"spike 10^9",1.89767088680828
"D4",77.3,"spike 10^8",2.76240343936007
"E4",77.3,"spike 10^7",2.70854066224463
"G4",77.3,"no template",0
"B4",90.4,"Twist 10^5",0.161880762585447
"C4",90.4,"spike 10^9",1.8218193725491
"D4",90.4,"spike 10^8",2.70496668977327
"E4",90.4,"spike 10^7",2.6815814735061
"G4",90.4,"no template",0
"B4",103.4,"Twist 10^5",0.3369297264109
"C4",103.4,"spike 10^9",2.03491512073274
"D4",103.4,"spike 10^8",2.74708152493319
"E4",103.4,"spike 10^7",2.74125891817875
"G4",103.4,"no template",0
"B4",117.1,"Twist 10^5",0.334467899851582
"C4",117.1,"spike 10^9",2.07657204129934
"D4",117.1,"spike 10^8",2.72478187941189
"E4",117.1,"spike 10^7",2.72262362499719
"G4",117.1,"no template",0
