Well,Cycle,BLUE,GREEN,YELLOW,RED
D1,25,42311,17247,8680,4325
D2,25,43486,17627,8796,4210
D3,25,92104,36567,16971,6950
D4,25,92954,36771,16890,6726
D5,25,102992,40505,18480,7198
D6,25,100273,39771,18413,7356
D7,25,94182,37314,17255,6894
D8,25,91143,36079,16572,6534
D9,25,95461,37920,17426,6847
D10,25,92562,36545,16444,6231
D11,25,91882,36671,16871,6911
D12,25,101274,40507,18454,6941
E1,25,39949,16166,7963,3731
E2,25,43629,17764,8901,4245
E3,25,94251,37282,17037,6616
E4,25,96743,37938,17241,6689
E5,25,99195,39277,18075,7163
E6,25,96334,38152,17571,6943
E7,25,100566,39427,17935,6927
E8,25,102219,39948,17959,6772
E9,25,87493,34917,15946,6072
E10,25,93365,36917,16779,6475
E11,25,91771,36494,16627,6474
E12,25,106820,42323,19224,7369
F1,25,40678,16720,8487,4159
F2,25,40097,16238,8014,3752
F3,25,85034,33616,15401,6088
F4,25,85413,33935,15657,6253
F5,25,91833,36465,16754,6562
F6,25,98109,38638,17549,6754
F7,25,94602,37167,16880,6486
F8,25,93464,36724,16665,6375
F9,25,98669,38914,17556,6525
F10,25,94754,37607,17102,6615
F11,25,86176,34370,15732,6128
F12,25,108844,43065,19451,7332
G1,25,40873,16533,8103,3692
G2,25,43964,17804,8767,4045
G3,25,84058,33657,15664,6206
G4,25,92447,36808,17099,7008
G5,25,92145,36654,16851,6596
G6,25,85802,34218,16002,6441
G7,25,93514,36884,16781,6457
G8,25,91344,35852,16338,6370
G9,25,89812,35581,16130,6100
G10,25,91668,36376,16556,6331
G11,25,97654,38780,17521,6608
G12,25,117774,47907,23080,10039
H1,25,44915,18286,8983,4163
H2,25,48883,19847,9728,4492
H3,25,102772,42709,20904,9409
H4,25,95962,38664,17936,7174
H5,25,97731,39065,17882,6855
H6,25,100027,40109,18303,7080
H7,25,100882,41311,19966,8485
H8,25,97618,38630,17445,6520
H9,25,96606,38991,17970,6926
H10,25,101107,40636,18829,7509
H11,25,82585,34312,15914,6275
H12,25,82737,33197,15170,5895
A1,26,42556,17164,8402,3901
A2,26,41082,16453,7990,3620
A3,26,79884,31277,14138,5429
A4,26,90100,35488,16178,6278
A5,26,87370,34188,15444,5853
A6,26,98146,38356,17236,6434
A7,26,96489,37797,17103,6528
A8,26,83501,33083,15183,5877
A9,26,82557,32723,14922,5787
A10,26,91765,36302,16461,6348
A11,26,80962,32149,14577,5505
A12,26,90103,35571,15834,5793
B1,26,35468,14530,7362,3620
B2,26,38773,15926,8173,4104
B3,26,81676,32260,14622,5573
B4,26,91712,36153,16618,6650
B5,26,88788,35186,16265,6466
B6,26,88774,35000,15982,6161
B7,26,99675,39482,18102,7028
B8,26,93299,36977,16910,6592
B9,26,86075,34862,16012,6260
B10,26,98512,39075,17707,6803
B11,26,84907,33854,15339,5891
B12,26,110109,43376,19859,8410
C1,26,42622,17271,8674,4244
C2,26,38527,15483,7527,3421
C3,26,90538,35533,16113,6223
C4,26,93591,36801,16613,6172
C5,26,97037,37970,17219,6672
C6,26,100841,39497,17925,6899
C7,26,97263,37849,16950,6345
C8,26,88022,34920,16081,6287
C9,26,91782,36420,16677,6437
C10,26,83429,33166,15123,5751
C11,26,94159,37323,17078,6714
C12,26,104419,41534,19025,7370
D1,26,42509,17322,8726,4347
D2,26,43916,17817,8897,4267
D3,26,92642,36769,17087,6978
D4,26,93299,36873,16938,6748
D5,26,102992,40471,18491,7209
D6,26,100680,39913,18478,7373
D7,26,93901,37174,17175,6843
D8,26,91294,36140,16612,6548
D9,26,95878,38106,17512,6882
D10,26,92887,36658,16519,6276
D11,26,91636,36559,16813,6876
D12,26,101581,40633,18510,6971
E1,26,40108,16238,8026,3763
E2,26,43881,17859,8950,4262
E3,26,94220,37259,17040,6603
E4,26,96650,37910,17202,6690
E5,26,99219,39283,18086,7182
E6,26,96099,38039,17529,6939
E7,26,100560,39401,17913,6937
E8,26,102640,40114,18046,6811
E9,26,87658,34950,15970,6072
E10,26,94148,37234,16940,6555
E11,26,91833,36495,16662,6482
E12,26,107908,42755,19459,7458
F1,26,40898,16815,8529,4183
F2,26,40274,16301,8069,3760
F3,26,85172,33650,15419,6093
F4,26,85119,33838,15602,6237
F5,26,91784,36397,16707,6562
F6,26,98037,38598,17538,6750
F7,26,94872,37285,16927,6516
F8,26,93754,36834,16709,6411
F9,26,98622,38918,17552,6532
F10,26,95485,37919,17224,6664
F11,26,86269,34430,15735,6145
F12,26,109481,43325,19583,7367
G1,26,41003,16614,8124,3710
G2,26,44124,17891,8790,4031
G3,26,84224,33729,15681,6241
G4,26,91888,36576,16998,6953
G5,26,92349,36709,16862,6608
G6,26,85817,34230,15995,6438
G7,26,93826,37003,16853,6498
G8,26,91580,35925,16347,6393
G9,26,89901,35617,16166,6110
G10,26,91893,36463,16600,6339
G11,26,97882,38852,17561,6626
G12,26,118192,48073,23180,10083
H1,26,45006,18327,9017,4170
H2,26,48949,19888,9754,4475
H3,26,102570,42607,20871,9378
H4,26,96238,38791,18004,7226
H5,26,97786,39029,17889,6853
H6,26,100028,40106,18304,7078
H7,26,101001,41341,20008,8520
H8,26,97563,38595,17409,6526
H9,26,96622,38987,17962,6937
H10,26,100883,40528,18772,7509
H11,26,83362,34834,16180,6407
H12,26,82645,33136,15169,5879
A1,27,42672,17201,8440,3912
A2,27,41161,16500,7997,3649
A3,27,80020,31333,14169,5442
A4,27,90367,35584,16255,6304
A5,27,87575,34288,15500,5874
A6,27,98402,38487,17286,6479
A7,27,96524,37844,17125,6554
A8,27,83526,33084,15180,5885
A9,27,82527,32715,14925,5804
A10,27,91917,36361,16495,6344
A11,27,81148,32210,14609,5510
A12,27,90164,35632,15858,5811
B1,27,35897,14718,7468,3658
B2,27,38850,15954,8199,4088
B3,27,82095,32423,14715,5619
B4,27,91877,36212,16634,6687
B5,27,89352,35425,16376,6520
B6,27,89178,35184,16048,6194
B7,27,99609,39464,18108,7024
B8,27,93515,37074,16970,6623
B9,27,86473,35004,16086,6295
B10,27,98636,39117,17749,6829
B11,27,84432,33698,15244,5852
B12,27,109950,43303,19816,8406
C1,27,42796,17330,8719,4247
C2,27,38799,15573,7588,3462
C3,27,90558,35546,16114,6229
C4,27,93946,36925,16689,6205
C5,27,96769,37870,17189,6663
C6,27,101017,39557,17967,6933
C7,27,97478,37944,16998,6378
C8,27,88254,35022,16136,6317
C9,27,91379,36260,16607,6413
C10,27,83460,33151,15134,5744
C11,27,94805,37565,17184,6760
C12,27,104398,41488,19013,7389
D1,27,42547,17362,8728,4345
D2,27,44022,17870,8929,4280
D3,27,92749,36808,17108,7006
D4,27,93581,36996,17008,6762
D5,27,102892,40437,18490,7202
D6,27,100994,40046,18526,7445
D7,27,94245,37331,17264,6884
D8,27,91462,36195,16634,6580
D9,27,95891,38076,17509,6887
D10,27,92930,36683,16538,6292
D11,27,92262,36807,16938,6949
D12,27,101198,40494,18449,6966
E1,27,40210,16287,8034,3755
E2,27,43901,17866,8973,4265
E3,27,94617,37422,17112,6676
E4,27,97097,38088,17292,6719
E5,27,99531,39376,18143,7199
E6,27,96546,38227,17616,6974
E7,27,100760,39479,17959,6949
E8,27,103021,40297,18131,6847
E9,27,87924,35073,16031,6115
E10,27,93898,37153,16892,6512
E11,27,92264,36674,16741,6527
E12,27,107330,42521,19314,7423
F1,27,40940,16830,8568,4196
F2,27,40352,16359,8085,3777
F3,27,85280,33688,15425,6104
F4,27,85594,34013,15697,6277
F5,27,92214,36572,16805,6597
F6,27,98332,38722,17587,6794
F7,27,95087,37376,16980,6533
F8,27,93895,36890,16752,6412
F9,27,98784,38984,17607,6560
F10,27,95219,37802,17190,6663
F11,27,86549,34551,15778,6164
F12,27,109087,43126,19513,7348
G1,27,41075,16641,8158,3717
G2,27,44239,17936,8826,4063
G3,27,84451,33824,15743,6260
G4,27,92419,36779,17094,7009
G5,27,92531,36788,16930,6638
G6,27,86041,34316,16056,6473
G7,27,93791,36993,16856,6463
G8,27,91723,36002,16433,6419
G9,27,90047,35640,16174,6117
G10,27,91642,36355,16576,6343
G11,27,97850,38863,17571,6615
G12,27,117788,47880,23078,10062
H1,27,45101,18376,9033,4173
H2,27,49035,19915,9770,4506
H3,27,102340,42511,20807,9367
H4,27,96239,38775,18024,7230
H5,27,97695,38997,17870,6857
H6,27,100028,40108,18305,7089
H7,27,100856,41293,19967,8509
H8,27,97528,38594,17426,6528
H9,27,96481,38931,17944,6933
H10,27,100916,40530,18799,7488
H11,27,83952,35238,16401,6490
H12,27,82775,33191,15207,5915
A1,28,42746,17220,8440,3920
A2,28,41323,16567,8037,3632
A3,28,80177,31418,14225,5450
A4,28,90595,35656,16281,6317
A5,28,87814,34372,15537,5892
A6,28,98573,38538,17331,6494
A7,28,96905,37959,17168,6588
A8,28,83756,33197,15248,5915
A9,28,82598,32748,14964,5794
A10,28,92045,36430,16537,6369
A11,28,81154,32204,14628,5530
A12,28,90269,35657,15906,5842
B1,28,36245,14858,7534,3687
B2,28,39092,16051,8220,4142
B3,28,82470,32608,14774,5633
B4,28,92257,36337,16736,6703
B5,28,89522,35439,16395,6524
B6,28,89502,35326,16084,6218
B7,28,99861,39544,18142,7041
B8,28,93799,37182,17014,6627
B9,28,86339,34944,16065,6297
B10,28,98881,39209,17808,6836
B11,28,84292,33639,15259,5847
B12,28,109953,43299,19822,8400
C1,28,42856,17359,8732,4254
C2,28,38909,15611,7616,3462
C3,28,90945,35695,16179,6265
C4,28,93924,36914,16673,6212
C5,28,97752,38233,17395,6743
C6,28,101213,39637,18028,6936
C7,28,97845,38101,17062,6419
C8,28,88578,35148,16184,6352
C9,28,91410,36234,16610,6400
C10,28,83741,33306,15210,5788
C11,28,95058,37655,17242,6782
C12,28,104364,41478,18997,7379
D1,28,42447,17324,8702,4349
D2,28,44244,17925,8965,4299
D3,28,92683,36786,17090,6994
D4,28,93989,37166,17085,6805
D5,28,103069,40529,18487,7215
D6,28,100976,40073,18546,7444
D7,28,94799,37573,17393,6939
D8,28,91720,36328,16718,6610
D9,28,95908,38101,17527,6896
D10,28,93027,36723,16537,6299
D11,28,92922,37072,17068,7005
D12,28,101668,40662,18545,7001
E1,28,40227,16281,8051,3753
E2,28,44145,17971,9037,4314
E3,28,95039,37598,17189,6685
E4,28,97551,38271,17387,6773
E5,28,99922,39554,18198,7228
E6,28,96822,38357,17686,7003
E7,28,101059,39629,18023,6964
E8,28,102781,40157,18047,6848
E9,28,87957,35077,16016,6105
E10,28,94070,37214,16931,6564
E11,28,92681,36851,16834,6572
E12,28,107975,42769,19464,7494
F1,28,41021,16858,8574,4203
F2,28,40518,16420,8135,3804
F3,28,85510,33786,15485,6113
F4,28,85948,34167,15771,6315
F5,28,92381,36630,16855,6600
F6,28,98232,38669,17570,6784
F7,28,95156,37405,17010,6545
F8,28,93762,36814,16720,6403
F9,28,98628,38920,17571,6553
F10,28,95212,37792,17186,6657
F11,28,86817,34660,15856,6200
F12,28,109192,43177,19538,7370
G1,28,41152,16664,8173,3727
G2,28,44405,18004,8855,4079
G3,28,84513,33845,15735,6280
G4,28,92845,36949,17180,7036
G5,28,92726,36866,16967,6638
G6,28,85868,34251,16017,6467
G7,28,94340,37231,16958,6516
G8,28,92216,36183,16507,6466
G9,28,90230,35740,16225,6132
G10,28,91825,36424,16605,6354
G11,28,97956,38903,17601,6637
G12,28,118209,48059,23144,10105
H1,28,45153,18380,9050,4179
H2,28,49105,19945,9768,4495
H3,28,102513,42603,20854,9387
H4,28,96215,38727,18012,7226
H5,28,97698,38991,17872,6842
H6,28,100147,40157,18330,7108
H7,28,100885,41257,19972,8524
H8,28,97361,38467,17375,6519
H9,28,96460,38899,17978,6935
H10,28,101038,40583,18821,7529
H11,28,84494,35527,16553,6568
H12,28,82635,33117,15172,5917
A1,29,43013,17339,8500,3970
A2,29,41421,16593,8060,3645
A3,29,80486,31523,14274,5490
A4,29,90637,35712,16298,6323
A5,29,87981,34440,15562,5914
A6,29,98718,38593,17332,6487
A7,29,97063,38023,17203,6592
A8,29,83964,33278,15277,5932
A9,29,82908,32865,15001,5821
A10,29,92122,36473,16547,6369
A11,29,81179,32223,14634,5536
A12,29,90361,35722,15933,5840
B1,29,35901,14723,7468,3661
B2,29,39552,16245,8345,4192
B3,29,82625,32641,14810,5657
B4,29,92379,36423,16758,6710
B5,29,89572,35495,16400,6529
B6,29,89813,35449,16162,6238
B7,29,100036,39615,18205,7063
B8,29,93967,37219,17045,6652
B9,29,86438,34961,16067,6303
B10,29,99082,39284,17853,6864
B11,29,84678,33788,15331,5897
B12,29,109759,43204,19797,8395
C1,29,43063,17440,8780,4288
C2,29,39078,15689,7628,3484
C3,29,91589,35944,16310,6308
C4,29,94177,37013,16737,6209
C5,29,98047,38356,17433,6777
C6,29,101524,39717,18064,6967
C7,29,98277,38272,17141,6448
C8,29,88734,35183,16221,6347
C9,29,91816,36413,16693,6418
C10,29,83923,33345,15212,5796
C11,29,95390,37792,17326,6829
C12,29,104344,41456,19018,7373
D1,29,43071,17572,8856,4418
D2,29,44015,17863,8925,4268
D3,29,92795,36807,17113,7016
D4,29,94068,37208,17096,6814
D5,29,103700,40746,18622,7267
D6,29,101300,40147,18604,7475
D7,29,95067,37659,17421,6952
D8,29,91890,36382,16731,6615
D9,29,96022,38153,17547,6905
D10,29,93350,36844,16602,6324
D11,29,92716,36990,17047,6991
D12,29,101124,40437,18468,6993
E1,29,40451,16399,8095,3791
E2,29,44397,18076,9075,4322
E3,29,94738,37467,17121,6649
E4,29,97816,38365,17412,6793
E5,29,99739,39482,18159,7223
E6,29,96615,38265,17644,6991
E7,29,101216,39664,18034,6981
E8,29,103216,40335,18152,6877
E9,29,87738,34997,15986,6082
E10,29,94346,37313,16985,6578
E11,29,92931,36934,16877,6568
E12,29,107296,42478,19331,7455
F1,29,41148,16929,8609,4222
F2,29,41105,16656,8241,3867
F3,29,85671,33834,15518,6140
F4,29,86073,34222,15803,6338
F5,29,92674,36740,16889,6600
F6,29,98366,38740,17605,6798
F7,29,95342,37449,17032,6582
F8,29,93962,36918,16778,6443
F9,29,98549,38874,17553,6547
F10,29,95428,37876,17224,6659
F11,29,87243,34824,15949,6215
F12,29,108842,43027,19478,7353
G1,29,41317,16743,8199,3746
G2,29,44228,17944,8825,4056
G3,29,84738,33952,15783,6284
G4,29,92909,36974,17193,7034
G5,29,92967,36967,17004,6678
G6,29,86545,34497,16150,6529
G7,29,94422,37256,16955,6546
G8,29,92268,36215,16510,6470
G9,29,90399,35811,16268,6159
G10,29,91838,36432,16593,6342
G11,29,97837,38866,17573,6636
G12,29,117941,47932,23136,10078
H1,29,45175,18394,9062,4201
H2,29,49005,19912,9777,4512
H3,29,102380,42521,20836,9393
H4,29,96185,38728,18042,7234
H5,29,97716,38982,17884,6863
H6,29,99865,40016,18298,7096
H7,29,100968,41288,19984,8523
H8,29,97333,38487,17384,6528
H9,29,96466,38899,17965,6952
H10,29,100891,40526,18816,7537
H11,29,84630,35480,16525,6552
H12,29,82625,33106,15183,5907
A1,30,43159,17423,8531,3975
A2,30,41588,16658,8087,3686
A3,30,80593,31571,14324,5496
A4,30,90855,35792,16325,6341
A5,30,88249,34554,15627,5936
A6,30,98997,38700,17406,6521
A7,30,97220,38080,17248,6610
A8,30,83719,33178,15248,5919
A9,30,82805,32814,14985,5833
A10,30,92320,36520,16593,6407
A11,30,81398,32299,14693,5558
A12,30,90316,35651,15909,5860
B1,30,36164,14822,7521,3686
B2,30,39638,16282,8369,4194
B3,30,82743,32677,14827,5661
B4,30,92689,36498,16808,6733
B5,30,89901,35600,16448,6553
B6,30,90214,35593,16252,6281
B7,30,100614,39844,18294,7097
B8,30,94777,37568,17200,6712
B9,30,87172,35235,16204,6370
B10,30,99356,39391,17888,6904
B11,30,84433,33687,15276,5879
B12,30,109990,43306,19847,8423
C1,30,43375,17575,8850,4312
C2,30,39298,15778,7696,3519
C3,30,91593,35947,16323,6321
C4,30,94200,37018,16730,6238
C5,30,98563,38566,17520,6795
C6,30,101745,39843,18115,6991
C7,30,97806,38070,17050,6402
C8,30,89250,35422,16330,6370
C9,30,92099,36476,16689,6427
C10,30,84158,33456,15265,5830
C11,30,95782,37971,17416,6863
C12,30,104298,41438,19010,7398
D1,30,43170,17627,8871,4442
D2,30,44199,17957,8961,4286
D3,30,93383,37057,17235,7079
D4,30,94294,37280,17135,6823
D5,30,103996,40886,18674,7296
D6,30,101590,40279,18689,7472
D7,30,94429,37375,17293,6898
D8,30,92228,36529,16805,6657
D9,30,96347,38258,17596,6926
D10,30,93925,37062,16730,6386
D11,30,93102,37146,17120,7035
D12,30,101584,40613,18555,7019
E1,30,40606,16461,8138,3804
E2,30,44241,18007,9040,4323
E3,30,95087,37581,17190,6681
E4,30,97499,38226,17378,6758
E5,30,100238,39659,18269,7240
E6,30,96807,38336,17689,7024
E7,30,101344,39685,18083,6990
E8,30,103487,40450,18189,6906
E9,30,88332,35215,16099,6143
E10,30,94675,37424,17037,6607
E11,30,92947,36950,16910,6585
E12,30,107901,42742,19471,7506
F1,30,41317,17002,8653,4209
F2,30,41032,16627,8247,3816
F3,30,85802,33912,15539,6166
F4,30,85550,33998,15705,6272
F5,30,92976,36856,16958,6642
F6,30,98985,38984,17719,6849
F7,30,95813,37665,17153,6619
F8,30,94061,36958,16781,6427
F9,30,98899,39019,17640,6579
F10,30,95610,37952,17261,6696
F11,30,87046,34754,15889,6222
F12,30,108723,42967,19440,7328
G1,30,41368,16757,8214,3741
G2,30,44380,17997,8853,4073
G3,30,85079,34076,15867,6311
G4,30,93136,37033,17215,7064
G5,30,93060,37007,17012,6673
G6,30,86648,34551,16166,6538
G7,30,94446,37246,16979,6529
G8,30,92591,36333,16564,6500
G9,30,90353,35788,16243,6145
G10,30,91788,36391,16603,6368
G11,30,98159,38968,17652,6671
G12,30,117846,47891,23116,10104
H1,30,45249,18432,9090,4216
H2,30,49255,20006,9828,4538
H3,30,102275,42479,20811,9391
H4,30,96436,38823,18073,7247
H5,30,97662,38955,17847,6867
H6,30,100023,40081,18299,7095
H7,30,100992,41312,19987,8536
H8,30,97200,38409,17371,6523
H9,30,96414,38876,17949,6958
H10,30,100889,40522,18786,7532
H11,30,84661,35338,16461,6549
H12,30,82639,33138,15181,5924
A1,31,43367,17514,8577,3973
A2,31,41703,16705,8116,3670
A3,31,80871,31687,14350,5512
A4,31,90996,35845,16358,6342
A5,31,88536,34656,15691,5950
A6,31,99193,38783,17429,6543
A7,31,97644,38251,17328,6638
A8,31,83935,33292,15280,5940
A9,31,82900,32839,15032,5851
A10,31,92529,36624,16636,6413
A11,31,81447,32333,14713,5568
A12,31,90431,35756,15960,5866
B1,31,36428,14912,7569,3723
B2,31,39899,16377,8410,4228
B3,31,83275,32892,14934,5703
B4,31,92960,36635,16859,6760
B5,31,90241,35747,16534,6587
B6,31,90453,35707,16291,6297
B7,31,100923,39976,18350,7128
B8,31,94960,37621,17241,6729
B9,31,86792,35072,16136,6333
B10,31,99463,39435,17904,6897
B11,31,84780,33838,15372,5908
B12,31,109804,43205,19806,8417
C1,31,43804,17762,8922,4333
C2,31,39424,15810,7707,3495
C3,31,91801,36006,16323,6321
C4,31,94342,37078,16755,6238
C5,31,98665,38599,17528,6809
C6,31,101816,39863,18127,7005
C7,31,98799,38490,17268,6518
C8,31,89494,35509,16361,6427
C9,31,100145,39823,18205,6922
C10,31,84333,33512,15306,5832
C11,31,95160,37722,17248,6802
C12,31,104247,41389,19004,7396
D1,31,43344,17687,8925,4452
D2,31,44325,17982,8983,4299
D3,31,93577,37127,17276,7079
D4,31,94570,37377,17186,6833
D5,31,104105,40921,18697,7289
D6,31,101684,40326,18655,7484
D7,31,94858,37585,17385,6935
D8,31,92438,36608,16830,6674
D9,31,96763,38408,17673,6946
D10,31,93777,36995,16683,6371
D11,31,92920,37070,17070,7027
D12,31,101417,40544,18519,7024
E1,31,40751,16510,8158,3815
E2,31,44479,18094,9096,4332
E3,31,95334,37710,17240,6694
E4,31,97765,38333,17417,6781
E5,31,100317,39701,18288,7266
E6,31,96978,38388,17712,7028
E7,31,101468,39777,18091,7007
E8,31,104055,40681,18312,6943
E9,31,88554,35299,16111,6147
E10,31,94848,37506,17069,6618
E11,31,93255,37069,16944,6611
E12,31,107008,42347,19286,7426
F1,31,41431,17042,8664,4254
F2,31,41256,16728,8288,3866
F3,31,86213,34072,15624,6173
F4,31,85995,34191,15780,6315
F5,31,93421,37024,17012,6642
F6,31,98679,38847,17683,6834
F7,31,95677,37602,17112,6626
F8,31,94187,37010,16838,6471
F9,31,99038,39090,17668,6629
F10,31,95711,37997,17293,6709
F11,31,87545,34925,16004,6237
F12,31,108617,42928,19444,7343
G1,31,41449,16804,8255,3748
G2,31,44488,18062,8886,4063
G3,31,85328,34147,15889,6324
G4,31,93196,37074,17237,7058
G5,31,93222,37047,17059,6691
G6,31,86821,34592,16186,6527
G7,31,94937,37449,17067,6581
G8,31,92690,36356,16576,6510
G9,31,90534,35846,16302,6186
G10,31,92000,36474,16629,6375
G11,31,98285,39020,17667,6668
G12,31,117334,47667,23001,10050
H1,31,45304,18439,9091,4239
H2,31,49289,20016,9839,4535
H3,31,102301,42476,20828,9382
H4,31,96443,38828,18062,7251
H5,31,97606,38953,17845,6854
H6,31,99907,40032,18280,7104
H7,31,100958,41275,19995,8533
H8,31,97149,38384,17370,6530
H9,31,96379,38861,17953,6969
H10,31,100915,40534,18823,7534
H11,31,84511,35159,16369,6496
H12,31,82775,33164,15231,5945
A1,32,43490,17546,8610,4001
A2,32,41915,16802,8162,3715
A3,32,81312,31845,14408,5555
A4,32,91271,35910,16424,6365
A5,32,88808,34754,15719,5969
A6,32,99525,38906,17512,6562
A7,32,97522,38222,17327,6631
A8,32,84110,33355,15329,5965
A9,32,83284,33011,15091,5872
A10,32,92655,36669,16671,6431
A11,32,81427,32333,14704,5569
A12,32,90554,35781,15977,5884
B1,32,36271,14840,7540,3700
B2,32,39789,16348,8374,4211
B3,32,83729,33070,15017,5739
B4,32,93063,36642,16868,6760
B5,32,90605,35879,16604,6613
B6,32,90937,35874,16367,6322
B7,32,100734,39895,18329,7115
B8,32,95260,37757,17312,6780
B9,32,87192,35194,16214,6342
B10,32,99846,39572,18011,6940
B11,32,84741,33837,15342,5899
B12,32,109712,43165,19794,8407
C1,32,43514,17628,8862,4314
C2,32,39751,15957,7789,3549
C3,32,92475,36279,16453,6372
C4,32,94712,37208,16830,6274
C5,32,98904,38683,17559,6835
C6,32,102135,39981,18193,7035
C7,32,98932,38496,17262,6471
C8,32,89896,35667,16438,6445
C9,32,100536,39965,18296,6978
C10,32,84661,33646,15378,5865
C11,32,95588,37888,17342,6846
C12,32,104267,41402,18989,7404
D1,32,43319,17671,8907,4445
D2,32,44736,18152,9088,4342
D3,32,93451,37059,17234,7064
D4,32,94777,37484,17245,6861
D5,32,104613,41110,18803,7324
D6,32,102024,40465,18719,7535
D7,32,95954,38001,17589,7018
D8,32,92777,36724,16901,6714
D9,32,96795,38413,17672,6974
D10,32,94271,37207,16799,6409
D11,32,93171,37176,17130,7029
D12,32,101188,40454,18452,6991
E1,32,40774,16509,8188,3832
E2,32,44488,18099,9080,4340
E3,32,95299,37690,17244,6720
E4,32,98411,38612,17537,6857
E5,32,100683,39856,18344,7285
E6,32,97354,38562,17767,7066
E7,32,102337,40112,18270,7057
E8,32,103934,40642,18281,6934
E9,32,88714,35358,16144,6171
E10,32,95126,37622,17145,6650
E11,32,93384,37097,16953,6616
E12,32,107483,42515,19373,7480
F1,32,41569,17075,8702,4241
F2,32,41231,16699,8253,3846
F3,32,86360,34102,15649,6190
F4,32,86618,34421,15896,6354
F5,32,93913,37204,17110,6672
F6,32,99132,39016,17760,6865
F7,32,96212,37808,17204,6659
F8,32,94053,36966,16791,6472
F9,32,99055,39089,17685,6605
F10,32,96035,38129,17368,6753
F11,32,87587,34952,16009,6264
F12,32,107877,42617,19296,7304
G1,32,41653,16879,8286,3788
G2,32,44574,18082,8897,4077
G3,32,85511,34242,15922,6340
G4,32,93639,37231,17304,7072
G5,32,93453,37144,17109,6723
G6,32,87252,34775,16284,6564
G7,32,94996,37454,17062,6566
G8,32,93040,36507,16657,6544
G9,32,90659,35914,16312,6186
G10,32,92006,36461,16622,6367
G11,32,98367,39058,17691,6686
G12,32,117136,47581,22990,10044
H1,32,45347,18477,9109,4237
H2,32,49456,20078,9859,4543
H3,32,102195,42444,20779,9394
H4,32,96392,38789,18068,7256
H5,32,97498,38883,17814,6868
H6,32,99879,39997,18303,7115
H7,32,100966,41233,19992,8529
H8,32,97075,38356,17362,6545
H9,32,96290,38812,17944,6953
H10,32,100944,40512,18839,7550
H11,32,84409,34997,16299,6481
H12,32,82726,33135,15203,5951
A1,33,43591,17578,8617,4013
A2,33,42061,16861,8198,3718
A3,33,81537,31923,14477,5574
A4,33,91501,36038,16432,6391
A5,33,89056,34856,15771,5986
A6,33,99761,39004,17548,6570
A7,33,97817,38322,17372,6645
A8,33,84740,33554,15427,5987
A9,33,83196,32958,15061,5859
A10,33,92887,36751,16708,6446
A11,33,81607,32403,14740,5600
A12,33,90617,35824,16013,5902
B1,33,36684,15031,7617,3755
B2,33,40346,16558,8510,4274
B3,33,84169,33250,15090,5774
B4,33,93549,36857,16945,6816
B5,33,90826,35979,16636,6625
B6,33,91368,36043,16434,6361
B7,33,100981,40001,18371,7143
B8,33,95013,37659,17263,6737
B9,33,87402,35263,16238,6353
B10,33,100073,39668,18010,6963
B11,33,84872,33854,15358,5932
B12,33,109737,43182,19813,8420
C1,33,43760,17739,8924,4319
C2,33,39846,15992,7785,3546
C3,33,92898,36439,16533,6414
C4,33,94532,37148,16792,6268
C5,33,99310,38856,17634,6848
C6,33,102371,40086,18218,7044
C7,33,99180,38585,17310,6488
C8,33,89823,35589,16407,6417
C9,33,100813,39576,17987,6940
C10,33,84864,33714,15386,5860
C11,33,95971,38035,17422,6873
C12,33,103999,41312,18968,7384
D1,33,43512,17759,8926,4477
D2,33,44698,18141,9066,4334
D3,33,93823,37209,17309,7081
D4,33,95044,37551,17265,6882
D5,33,104992,41255,18855,7356
D6,33,102345,40567,18790,7540
D7,33,96397,38163,17678,7084
D8,33,92927,36766,16931,6723
D9,33,97248,38605,17757,6997
D10,33,94588,37307,16856,6421
D11,33,93726,37378,17215,7080
D12,33,101128,40417,18473,7014
E1,33,40917,16561,8218,3841
E2,33,44674,18174,9120,4350
E3,33,95753,37866,17333,6747
E4,33,98482,38647,17563,6841
E5,33,100894,39918,18402,7316
E6,33,97344,38533,17786,7073
E7,33,102458,40163,18279,7089
E8,33,103969,40632,18299,6939
E9,33,89316,35583,16242,6206
E10,33,95387,37707,17164,6666
E11,33,93740,37244,17038,6658
E12,33,107176,42382,19306,7468
F1,33,41659,17120,8737,4255
F2,33,41362,16748,8285,3892
F3,33,86697,34227,15710,6221
F4,33,86679,34433,15916,6392
F5,33,94117,37276,17127,6705
F6,33,99790,39300,17890,6916
F7,33,96187,37787,17208,6638
F8,33,94018,36955,16788,6471
F9,33,98987,39076,17654,6612
F10,33,96136,38180,17384,6750
F11,33,87866,35049,16056,6312
F12,33,108314,42769,19398,7330
G1,33,41737,16911,8312,3801
G2,33,44694,18123,8904,4105
G3,33,85763,34337,15970,6358
G4,33,94231,37459,17410,7116
G5,33,93722,37238,17147,6733
G6,33,87532,34883,16311,6582
G7,33,95470,37615,17160,6627
G8,33,93405,36634,16699,6564
G9,33,90822,35942,16345,6183
G10,33,92138,36519,16646,6393
G11,33,98776,39202,17768,6699
G12,33,117217,47604,22987,10063
H1,33,45352,18485,9099,4243
H2,33,49507,20115,9890,4577
H3,33,102184,42425,20796,9409
H4,33,96390,38796,18065,7257
H5,33,97600,38894,17847,6872
