Well,Cycle,BLUE,GREEN,YELLOW,RED
F8,2,96436,37740,16886,6277
F9,2,97335,38140,16847,6017
F10,2,93193,36850,16484,6188
F11,2,85016,33726,15040,5496
F12,2,110149,43710,19527,7153
G1,2,39950,16096,7714,3433
G2,2,42085,16942,8169,3681
G3,2,81644,32510,14867,5726
G4,2,92096,36556,16816,6758
G5,2,91794,36344,16506,6279
G6,2,85519,34041,15744,6225
G7,2,97159,38007,16859,6104
G8,2,88971,34784,15610,5954
G9,2,90489,35780,16015,5840
G10,2,91953,36384,16326,6059
G11,2,94201,37272,16595,6046
G12,2,118782,48460,23112,9861
H1,2,44285,17947,8663,3902
H2,2,48093,19480,9372,4186
H3,2,105595,44083,21454,9515
H4,2,98271,39860,18359,7161
H5,2,99522,40015,18149,6754
H6,2,105399,42411,19121,7169
H7,2,105554,43696,21179,8949
H8,2,97676,38718,17289,6303
H9,2,98221,39723,18049,6742
H10,2,102790,41525,19011,7394
H11,2,86287,35772,16342,6272
H12,2,83222,33500,15144,5694
A1,3,39011,15645,7558,3483
A2,3,37930,15125,7213,3204
A3,3,76569,29819,13350,4998
A4,3,87028,34123,15403,5819
A5,3,84134,32764,14623,5393
A6,3,94636,36835,16353,5975
A7,3,93748,36559,16347,6096
A8,3,80821,31906,14445,5436
A9,3,79319,31347,14092,5323
A10,3,88507,34924,15616,5847
A11,3,81280,32235,14379,5231
A12,3,89348,35340,15457,5435
B1,3,33129,13475,6710,3268
B2,3,35833,14617,7387,3662
B3,3,78448,30668,13710,5063
B4,3,88327,34640,15782,6195
B5,3,86230,34007,15547,6030
B6,3,83288,32863,14807,5559
B7,3,96603,38125,17267,6527
B8,3,92294,36437,16455,6248
B9,3,82339,33080,14974,5661
B10,3,96748,38289,17129,6411
B11,3,79741,31790,14206,5243
B12,3,110250,43623,19751,8271
C1,3,38855,15622,7733,3694
C2,3,35094,13947,6639,2972
C3,3,85815,33645,15148,5745
C4,3,93305,36636,16293,5858
C5,3,93378,36394,16332,6177
C6,3,98176,38313,17188,6484
C7,3,93743,36364,16051,5830
C8,3,86580,34244,15567,5940
C9,3,89106,35245,15912,5990
C10,3,82817,32770,14735,5433
C11,3,92272,36466,16500,6314
C12,3,105077,41940,18986,7194
D1,3,39398,15968,7916,3909
D2,3,41025,16580,8155,3849
D3,3,91161,36024,16580,6649
D4,3,90239,35475,16109,6235
D5,3,99293,38867,17546,6711
D6,3,98554,38934,17833,7016
D7,3,91203,35966,16423,6396
D8,3,89390,35257,15996,6173
D9,3,92326,36525,16584,6346
D10,3,90826,35754,15911,5876
D11,3,89946,35815,16267,6552
D12,3,105526,42241,18974,6962
E1,3,37162,14943,7247,3296
E2,3,41873,16988,8407,3955
E3,3,93562,36836,16664,6362
E4,3,93592,36589,16464,6284
E5,3,97526,38449,17448,6786
E6,3,95399,37612,17080,6585
E7,3,98290,38317,17213,6489
E8,3,100318,39102,17392,6439
E9,3,86993,34736,15629,5788
E10,3,90840,35909,16161,6108
E11,3,87451,34718,15674,5941
E12,3,108070,42972,19344,7255
F1,3,37745,15416,7695,3712
F2,3,37221,14953,7270,3309
F3,3,84990,33509,15189,5846
F4,3,84905,33644,15344,5980
