"well","minutes","input","normalised_fluorescence"
"B5",10.5,"Twist 10^5",0
"C5",10.5,"spike 10^9",0
"D5",10.5,"spike 10^8",0
"E5",10.5,"spike 10^7",0
"G5",10.5,"no template",0
"B5",23.8,"Twist 10^5",-0.00339765822439819
"C5",23.8,"spike 10^9",0.328983561090573
"D5",23.8,"spike 10^8",0.963297140917065
"E5",23.8,"spike 10^7",0.596078431644786
"G5",23.8,"no template",0
"B5",37.7,"Twist 10^5",-0.00446232835186788
"C5",37.7,"spike 10^9",1.65589144515197
"D5",37.7,"spike 10^8",2.08212378480994
"E5",37.7,"spike 10^7",1.84873788963134
"G5",37.7,"no template",0
"B5",41.15,"Twist 10^5",0.00741812360512939
"C5",41.15,"spike 10^9",1.76604031357584
"D5",41.15,"spike 10^8",2.13336950389003
"E5",41.15,"spike 10^7",2.38111303158564
"G5",41.15,"no template",0
"B5",52.35,"Twist 10^5",0.129195080125764
"C5",52.35,"spike 10^9",1.90863030713526
"D5",52.35,"spike 10^8",2.27147155782302
"E5",52.35,"spike 10^7",2.46556094310527
"G5",52.35,"no template",0
"B5",65.8,"Twist 10^5",0.54172087517385
"C5",65.8,"spike 10^9",1.92449713064437
"D5",65.8,"spike 10^8",2.25533956940005
"E5",65.8,"spike 10^7",2.46624166413199
"G5",65.8,"no template",0
"B5",77.3,"Twist 10^5",0.908218148175677
"C5",77.3,"spike 10^9",1.88395934582482
"D5",77.3,"spike 10^8",2.23957281372794
"E5",77.3,"spike 10^7",2.45874661001536
"G5",77.3,"no template",0
"B5",90.4,"Twist 10^5",1.19874586569037
"C5",90.4,"spike 10^9",1.81798558880263
"D5",90.4,"spike 10^8",2.19805417629171
"E5",90.4,"spike 10^7",2.44771360167906
"G5",90.4,"no template",0
"B5",103.4,"Twist 10^5",1.71184340324456
"C5",103.4,"spike 10^9",1.97511121131952
"D5",103.4,"spike 10^8",2.24636404678621
"E5",103.4,"spike 10^7",2.46968858513666
"G5",103.4,"no template",0
"B5",117.1,"Twist 10^5",1.8746968335842
"C5",117.1,"spike 10^9",2.05050780775642
"D5",117.1,"spike 10^8",2.23827739999722
"E5",117.1,"spike 10^7",2.45526604628299
"G5",117.1,"no template",0
