User: USER,Path: C:\Program Files (x86)\BMG\Omega\User\Data\,Test run no.: 188,,,,,,,,,,
Test name: QUICK FI TOP,Date: 24/04/2016,Time: 20:57:07,,,,,,,,,,
,,,,,,,,,,,,
ID1: QUICK FI TOP,,,,,,,,,,,,
Fluorescence (FI),,,,,,,,,,,,
,,,,,,,,,,,,
Raw Data (485/520),,,,,,,,,,,,
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,36528,22663,21144,23298,42133,20900,13172,13395,13274,11172,11562,11211
B,37176,24045,20746,23759,41726,19394,13144,12748,13856,12102,11175,11144
C,39750,77059,51955,46970,46026,42633,14634,12853,14540,11139,12244,10875
D,46960,122211,70471,55454,47194,21338,13719,14479,13332,11494,11732,11080
E,45340,102262,67630,54106,50410,20943,13673,13849,12720,11127,11332,11421
F,75430,206262,125342,89046,72372,24341,13334,13519,13562,11394,11584,10660
G,44149,20533,19462,18353,18561,16343,12570,12775,15257,12942,11807,10553
H,28914,17835,17379,17700,17338,17695,12442,12857,12148,11010,9418,10290
