"well","minutes","input","normalised_fluorescence"
"B1",10.5,"Twist 10^5",0
"C1",10.5,"spike 10^9",0
"D1",10.5,"spike 10^8",0
"E1",10.5,"spike 10^7",0
"G1",10.5,"no template",0
"B1",23.8,"Twist 10^5",-0.067228975117938
"C1",23.8,"spike 10^9",-0.0834500433775824
"D1",23.8,"spike 10^8",0.153829697877453
"E1",23.8,"spike 10^7",-0.033791886758169
"G1",23.8,"no template",0
"B1",37.7,"Twist 10^5",-0.135799393855031
"C1",37.7,"spike 10^9",-0.182202366303402
"D1",37.7,"spike 10^8",0.0704599632157401
"E1",37.7,"spike 10^7",-0.0724159231265085
"G1",37.7,"no template",0
"B1",41.15,"Twist 10^5",-0.100475882881743
"C1",41.15,"spike 10^9",-0.14726293388857
"D1",41.15,"spike 10^8",0.214357243280553
"E1",41.15,"spike 10^7",-0.0341904041584637
"G1",41.15,"no template",0
"B1",52.35,"Twist 10^5",0.000276847376458722
"C1",52.35,"spike 10^9",-0.189568971802227
"D1",52.35,"spike 10^8",0.269663147181716
"E1",52.35,"spike 10^7",-0.0198670186749581
"G1",52.35,"no template",0
"B1",65.8,"Twist 10^5",0.0227865518286232
"C1",65.8,"spike 10^9",-0.208992289270918
"D1",65.8,"spike 10^8",0.310792835521225
"E1",65.8,"spike 10^7",-0.0172375260797799
"G1",65.8,"no template",0
"B1",77.3,"Twist 10^5",-0.0387892362504685
"C1",77.3,"spike 10^9",-0.0342982559789724
"D1",77.3,"spike 10^8",0.290430172483417
"E1",77.3,"spike 10^7",-0.0414317137159168
"G1",77.3,"no template",0
"B1",90.4,"Twist 10^5",-0.180961325569274
"C1",90.4,"spike 10^9",-0.231554850019561
"D1",90.4,"spike 10^8",0.206020964786779
"E1",90.4,"spike 10^7",-0.193111195870307
"G1",90.4,"no template",0
"B1",103.4,"Twist 10^5",0.0644249918027286
"C1",103.4,"spike 10^9",0.22718406333783
"D1",103.4,"spike 10^8",0.569009824976527
"E1",103.4,"spike 10^7",0.318512063136765
"G1",103.4,"no template",0
"B1",117.1,"Twist 10^5",0.0865069641223375
"C1",117.1,"spike 10^9",0.199559763460496
"D1",117.1,"spike 10^8",0.577793922545013
"E1",117.1,"spike 10^7",0.316577304680104
"G1",117.1,"no template",0
