"well","minutes","input","normalised_fluorescence"
"B1",0,"spike 10^5",0
"B2",0,"spike 10^5",0
"B3",0,"spike 10^5",0
"C1",0,"spike 10^4",0
"C2",0,"spike 10^4",0
"C3",0,"spike 10^4",0
"D1",0,"spike 10^3",0
"D2",0,"spike 10^3",0
"D3",0,"spike 10^3",0
"E1",0,"spike 10^2",0
"E2",0,"spike 10^2",0
"E3",0,"spike 10^2",0
"F1",0,"spike 10",0
"F2",0,"spike 10",0
"F3",0,"spike 10",0
"G1",0,"no template",0
"G2",0,"no template",0
"G3",0,"no template",0
"B1",12.8,"spike 10^5",0.0351584112258481
"B2",12.8,"spike 10^5",0.0454994949630341
"B3",12.8,"spike 10^5",-0.00237817875577373
"C1",12.8,"spike 10^4",0.0214081638551558
"C2",12.8,"spike 10^4",0.0333788115564866
"C3",12.8,"spike 10^4",-0.00278140117870018
"D1",12.8,"spike 10^3",-0.00345334756977178
"D2",12.8,"spike 10^3",0.0355082109755722
"D3",12.8,"spike 10^3",0.00616533253636553
"E1",12.8,"spike 10^2",0.00373379006883456
"E2",12.8,"spike 10^2",0.0301458055929147
"E3",12.8,"spike 10^2",-0.0204073403642409
"F1",12.8,"spike 10",-0.00266172668467579
"F2",12.8,"spike 10",-0.00918028419237449
"F3",12.8,"spike 10",-0.0183259837979853
"G1",12.8,"no template",0
"G2",12.8,"no template",0
"G3",12.8,"no template",0
"B1",25.9,"spike 10^5",0.0754152018789416
"B2",25.9,"spike 10^5",0.0729374386146107
"B3",25.9,"spike 10^5",0.0541248293434022
"C1",25.9,"spike 10^4",0.0264130142244261
"C2",25.9,"spike 10^4",0.0103240101717623
"C3",25.9,"spike 10^4",0.0196011754963521
"D1",25.9,"spike 10^3",-0.0044553402126799
"D2",25.9,"spike 10^3",0.0256977065489143
"D3",25.9,"spike 10^3",0.0199017340285159
"E1",25.9,"spike 10^2",-0.00696232470738067
"E2",25.9,"spike 10^2",0.0126118343898702
"E3",25.9,"spike 10^2",0.0252324828693722
"F1",25.9,"spike 10",-0.0148959854436501
"F2",25.9,"spike 10",-0.0170441474531695
"F3",25.9,"spike 10",-0.00610551395914971
"G1",25.9,"no template",0
"G2",25.9,"no template",0
"G3",25.9,"no template",0
"B1",38.55,"spike 10^5",0.354954948791341
"B2",38.55,"spike 10^5",0.515421956723335
"B3",38.55,"spike 10^5",0.446528195738216
"C1",38.55,"spike 10^4",0.0853184666957147
"C2",38.55,"spike 10^4",0.0561226793028247
"C3",38.55,"spike 10^4",0.0690852763462912
"D1",38.55,"spike 10^3",0.0112053670810099
"D2",38.55,"spike 10^3",0.0488654484087294
"D3",38.55,"spike 10^3",0.0278456697803022
"E1",38.55,"spike 10^2",0.00743661582547928
"E2",38.55,"spike 10^2",0.0270878634557514
"E3",38.55,"spike 10^2",0.0282089826657548
"F1",38.55,"spike 10",-0.0119104255260531
"F2",38.55,"spike 10",-0.0299882196504018
"F3",38.55,"spike 10",-0.0167803336649553
"G1",38.55,"no template",0
"G2",38.55,"no template",0
"G3",38.55,"no template",0
"B1",51.05,"spike 10^5",0.840019853715668
"B2",51.05,"spike 10^5",1.17850764965201
"B3",51.05,"spike 10^5",1.07125256438532
"C1",51.05,"spike 10^4",0.171265042435869
"C2",51.05,"spike 10^4",0.183179206696966
"C3",51.05,"spike 10^4",0.271952305100042
"D1",51.05,"spike 10^3",0.0514603126033226
"D2",51.05,"spike 10^3",0.0718565572938463
"D3",51.05,"spike 10^3",0.0416099064688809
"E1",51.05,"spike 10^2",0.0131855078842684
"E2",51.05,"spike 10^2",0.0335620753105248
"E3",51.05,"spike 10^2",0.0450453795273629
"F1",51.05,"spike 10",-0.00917711171024815
"F2",51.05,"spike 10",-0.0597329790593106
"F3",51.05,"spike 10",-0.00542465715865204
"G1",51.05,"no template",0
"G2",51.05,"no template",0
"G3",51.05,"no template",0
"B1",65.5,"spike 10^5",1.24346346718851
"B2",65.5,"spike 10^5",1.46091243914328
"B3",65.5,"spike 10^5",1.30413330811561
"C1",65.5,"spike 10^4",0.3140814857664
"C2",65.5,"spike 10^4",0.368344286181575
"C3",65.5,"spike 10^4",0.560958467812662
"D1",65.5,"spike 10^3",0.0789286967235692
"D2",65.5,"spike 10^3",0.102950608888744
"D3",65.5,"spike 10^3",0.064978540885873
"E1",65.5,"spike 10^2",0.0176698254637189
"E2",65.5,"spike 10^2",0.00837334006515555
"E3",65.5,"spike 10^2",0.0488781686743271
"F1",65.5,"spike 10",-0.0166506530247836
"F2",65.5,"spike 10",-0.0620448598076844
"F3",65.5,"spike 10",0.0267250614915384
"G1",65.5,"no template",0
"G2",65.5,"no template",0
"G3",65.5,"no template",0
"B1",79.4,"spike 10^5",1.40773044385625
"B2",79.4,"spike 10^5",1.51986946187139
"B3",79.4,"spike 10^5",1.36413337747214
"C1",79.4,"spike 10^4",0.444305920869908
"C2",79.4,"spike 10^4",0.558712381983588
"C3",79.4,"spike 10^4",0.854798554407738
"D1",79.4,"spike 10^3",0.136852032651153
"D2",79.4,"spike 10^3",0.150885924294222
"D3",79.4,"spike 10^3",0.0853750150154564
"E1",79.4,"spike 10^2",0.029745236070235
"E2",79.4,"spike 10^2",0.0443705191013042
"E3",79.4,"spike 10^2",0.0521168342128346
"F1",79.4,"spike 10",-0.0144255330143821
"F2",79.4,"spike 10",-0.0450316634684687
"F3",79.4,"spike 10",0.0322497688625367
"G1",79.4,"no template",0
"G2",79.4,"no template",0
"G3",79.4,"no template",0
"B1",91.8,"spike 10^5",1.43792728623137
"B2",91.8,"spike 10^5",1.52217094271185
"B3",91.8,"spike 10^5",1.36824216317164
"C1",91.8,"spike 10^4",0.585220465121254
"C2",91.8,"spike 10^4",0.701653139067189
"C3",91.8,"spike 10^4",1.04984765824628
"D1",91.8,"spike 10^3",0.172020863840955
"D2",91.8,"spike 10^3",0.18178353475178
"D3",91.8,"spike 10^3",0.0974080950152192
"E1",91.8,"spike 10^2",0.0315064606944042
"E2",91.8,"spike 10^2",0.0381648176907858
"E3",91.8,"spike 10^2",0.0470078630051904
"F1",91.8,"spike 10",-0.0119949577753307
"F2",91.8,"spike 10",-0.0537063340494555
"F3",91.8,"spike 10",0.0287992101461925
"G1",91.8,"no template",0
"G2",91.8,"no template",0
"G3",91.8,"no template",0
"B1",107.4,"spike 10^5",1.40996019716136
"B2",107.4,"spike 10^5",1.49562285946257
"B3",107.4,"spike 10^5",1.34913694467743
"C1",107.4,"spike 10^4",0.701194668106252
"C2",107.4,"spike 10^4",0.853860495495749
"C3",107.4,"spike 10^4",1.20139802426327
"D1",107.4,"spike 10^3",0.208517583138207
"D2",107.4,"spike 10^3",0.210302958002152
"D3",107.4,"spike 10^3",0.118164532997812
"E1",107.4,"spike 10^2",0.0368856132477706
"E2",107.4,"spike 10^2",0.0329753668248076
"E3",107.4,"spike 10^2",0.0593392378865369
"F1",107.4,"spike 10",-0.0131676933791716
"F2",107.4,"spike 10",-0.0375976026218439
"F3",107.4,"spike 10",0.0328826385715417
"G1",107.4,"no template",0
"G2",107.4,"no template",0
"G3",107.4,"no template",0
"B1",119.1,"spike 10^5",1.44668946805849
"B2",119.1,"spike 10^5",1.53670188381079
"B3",119.1,"spike 10^5",1.37670256697481
"C1",119.1,"spike 10^4",0.829610162468479
"C2",119.1,"spike 10^4",0.977472445137048
"C3",119.1,"spike 10^4",1.28596037882343
"D1",119.1,"spike 10^3",0.253725739053875
"D2",119.1,"spike 10^3",0.248371762589216
"D3",119.1,"spike 10^3",0.145035715226241
"E1",119.1,"spike 10^2",0.0385961178883141
"E2",119.1,"spike 10^2",0.0537071018165316
"E3",119.1,"spike 10^2",0.0688896214812986
"F1",119.1,"spike 10",-0.00384738567539755
"F2",119.1,"spike 10",-0.0167996661824583
"F3",119.1,"spike 10",0.0498322693367288
"G1",119.1,"no template",0
"G2",119.1,"no template",0
"G3",119.1,"no template",0
