Well,0 min ,12 min 49 s,25 min 56 s,38 min 33 s,51 min 4 s,65 min 29 s,79 min 22 s,91 min 49 s,105 min 31 s,107 min 23 s,119 min 6 s
G11,117812,113114,113510,87946,64327,57754,55478,56024,207076,57816,58214
H11,101415,97003,99271,77028,55672,49796,48572,49013,193774,51881,51012
A12,183154,182367,209736,187917,141795,124808,122179,122018,87813,123553,123372
B12,171698,171112,196226,176308,133447,118456,116293,116618,91085,119243,116835
C12,176620,173155,187528,174238,133625,118098,116158,116313,96165,118948,116589
D12,175254,169094,172694,163200,133983,117802,115794,115346,100026,118030,116116
E12,185192,177962,180069,162233,136696,122119,119421,118554,106012,122408,119856
F12,181392,174956,174676,133449,110188,118591,116470,116319,151156,117565,115604
G12,178508,165821,167544,129165,95288,83733,81868,81531,205986,83197,82525
H12,176436,169208,168706,128393,95275,83701,81479,81277,205183,82419,81170
