"well","minutes","input","normalised_fluorescence"
"B7",0,"spike 10^5",0
"B8",0,"spike 10^5",0
"B9",0,"spike 10^5",0
"C7",0,"spike 10^4",0
"C8",0,"spike 10^4",0
"C9",0,"spike 10^4",0
"D7",0,"spike 10^3",0
"D8",0,"spike 10^3",0
"D9",0,"spike 10^3",0
"E7",0,"spike 10^2",0
"E8",0,"spike 10^2",0
"E9",0,"spike 10^2",0
"F7",0,"spike 10",0
"F8",0,"spike 10",0
"F9",0,"spike 10",0
"G7",0,"no template",0
"G8",0,"no template",0
"G9",0,"no template",0
"B7",12.8,"spike 10^5",0.032050150873744
"B8",12.8,"spike 10^5",0.0201057504583572
"B9",12.8,"spike 10^5",0.0102960978524955
"C7",12.8,"spike 10^4",0.0101989310714985
"C8",12.8,"spike 10^4",-0.00112713926489993
"C9",12.8,"spike 10^4",0.00675490207831708
"D7",12.8,"spike 10^3",-0.0091875516626343
"D8",12.8,"spike 10^3",0.000154470635076898
"D9",12.8,"spike 10^3",-0.00788792083714718
"E7",12.8,"spike 10^2",0.0341407593449348
"E8",12.8,"spike 10^2",-0.0271726240924453
"E9",12.8,"spike 10^2",-0.0167383848237761
"F7",12.8,"spike 10",-0.010403283851552
"F8",12.8,"spike 10",-0.0339633974442262
"F9",12.8,"spike 10",-0.0142835364892555
"G7",12.8,"no template",0
"G8",12.8,"no template",0
"G9",12.8,"no template",0
"B7",25.9,"spike 10^5",0.0763721966144592
"B8",25.9,"spike 10^5",0.0654551783477649
"B9",25.9,"spike 10^5",0.0728073745808966
"C7",25.9,"spike 10^4",-0.00246400227274424
"C8",25.9,"spike 10^4",0.00984211938036172
"C9",25.9,"spike 10^4",0.0184223903687719
"D7",25.9,"spike 10^3",-0.0211969421626232
"D8",25.9,"spike 10^3",0.0257397469983172
"D9",25.9,"spike 10^3",0.0105793445345477
"E7",25.9,"spike 10^2",0.0223501680425093
"E8",25.9,"spike 10^2",-0.0176481036171945
"E9",25.9,"spike 10^2",0.00688606559151572
"F7",25.9,"spike 10",0.000827977581894679
"F8",25.9,"spike 10",-0.0412355418769912
"F9",25.9,"spike 10",-0.0140379047370178
"G7",25.9,"no template",0
"G8",25.9,"no template",0
"G9",25.9,"no template",0
"B7",38.55,"spike 10^5",0.54488198554478
