Well,0 min ,10 min 23 s,21 min 43 s,35 min 24 s,47 min 1 s,57 min 44 s,70 min 43 s,96 min 10 s,110 min 56 s,123 min 26 s
D11,114075,112254,114586,114712,110010,107378,106398,108548,106222,107838
E11,120003,119684,123142,123892,118031,116512,115640,116527,114256,115825
F11,123670,122556,124767,125924,121615,118546,116000,118914,115594,117388
G11,130097,129499,130459,131008,125781,122467,121596,123300,122214,122797
H11,119296,117974,120560,119765,116091,114256,113043,115479,112392,112985
A12,108925,107790,110870,111324,105718,105058,102754,102753,102393,104608
B12,113471,114306,118100,117113,113138,110274,108688,110598,109680,110826
C12,108773,107572,110782,109682,105924,103640,102606,103284,103400,104530
D12,118576,118354,121866,121551,117420,114371,112529,114111,113516,112935
E12,115228,113296,116633,115910,113386,109569,109039,111748,104720,105269
F12,118041,120366,119376,123424,116105,116216,112990,117429,111864,113318
G12,114176,112635,115372,115619,110589,107902,107691,107896,108064,108876
H12,114073,112247,113206,114142,110371,107613,107834,108938,106960,107400
