"well","minutes","input","normalised_fluorescence"
"A2",0,"Twist 10^5",0
"A3",0,"spike 10^6",0
"A4",0,"spike 10^5",0
"A5",0,"spike 10^4",0
"A6",0,"spike 10^3",0
"A7",0,"spike 10^2",0
"A8",0,"spike 10",0
"A9",0,"no template",0
"A2",12.5,"Twist 10^5",-0.031626887667991
"A3",12.5,"spike 10^6",0.000926174403524938
"A4",12.5,"spike 10^5",-0.00370607536276801
"A5",12.5,"spike 10^4",-0.0259011831373568
"A6",12.5,"spike 10^3",0.00118467411045931
"A7",12.5,"spike 10^2",-0.00856656346002249
"A8",12.5,"spike 10",-0.00505818507955991
"A9",12.5,"no template",0
"A2",25.1,"Twist 10^5",0.0360375265296815
"A3",25.1,"spike 10^6",0.000348357763271911
"A4",25.1,"spike 10^5",0.00119874067388692
"A5",25.1,"spike 10^4",-0.0339144189545326
"A6",25.1,"spike 10^3",0.0201224334117753
"A7",25.1,"spike 10^2",0.0747226459517287
"A8",25.1,"spike 10",-0.00016952559750516
"A9",25.1,"no template",0
"A2",37.6,"Twist 10^5",0.0823550837365383
"A3",37.6,"spike 10^6",0.374567155642813
"A4",37.6,"spike 10^5",0.153673377277933
"A5",37.6,"spike 10^4",0.028701635155582
"A6",37.6,"spike 10^3",0.0237304966118239
"A7",37.6,"spike 10^2",0.0812015178044063
"A8",37.6,"spike 10",0.0147634997591191
"A9",37.6,"no template",0
"A2",50.3,"Twist 10^5",0.259475021107642
"A3",50.3,"spike 10^6",1.06025774045568
"A4",50.3,"spike 10^5",0.625401275750431
"A5",50.3,"spike 10^4",0.230996077088681
"A6",50.3,"spike 10^3",0.0422453275083359
"A7",50.3,"spike 10^2",0.0796265741332896
"A8",50.3,"spike 10",0.016742342974533
"A9",50.3,"no template",0
"A2",63.1,"Twist 10^5",0.569882242861727
"A3",63.1,"spike 10^6",1.18207516285592
"A4",63.1,"spike 10^5",0.994806598889375
"A5",63.1,"spike 10^4",0.54065793182583
"A6",63.1,"spike 10^3",0.0512840630755234
"A7",63.1,"spike 10^2",0.0674465415744505
"A8",63.1,"spike 10",0.012298908531962
"A9",63.1,"no template",0
"A2",75.65,"Twist 10^5",0.814761213779979
"A3",75.65,"spike 10^6",1.18002225740471
"A4",75.65,"spike 10^5",1.13444719010779
"A5",75.65,"spike 10^4",0.82508293784375
"A6",75.65,"spike 10^3",0.0760084120746809
"A7",75.65,"spike 10^2",0.0512529913903714
"A8",75.65,"spike 10",-0.00308191294738669
"A9",75.65,"no template",0
"A2",88.1,"Twist 10^5",0.94268566138021
"A3",88.1,"spike 10^6",1.17584708106061
"A4",88.1,"spike 10^5",1.15787993907791
"A5",88.1,"spike 10^4",0.986791154924455
"A6",88.1,"spike 10^3",0.11570456634257
"A7",88.1,"spike 10^2",0.0742238357753364
"A8",88.1,"spike 10",0.0142156590390246
"A9",88.1,"no template",0
"A2",102.1,"Twist 10^5",1.01172986738507
"A3",102.1,"spike 10^6",1.21578548205129
"A4",102.1,"spike 10^5",1.1930487980818
"A5",102.1,"spike 10^4",1.0966576815193
"A6",102.1,"spike 10^3",0.128679093109494
"A7",102.1,"spike 10^2",0.0713106938641712
"A8",102.1,"spike 10",-0.00543692626743963
"A9",102.1,"no template",0
"A2",114.4,"Twist 10^5",1.05259077559674
"A3",114.4,"spike 10^6",1.18663394708325
"A4",114.4,"spike 10^5",1.18446509475462
"A5",114.4,"spike 10^4",1.12272745253251
"A6",114.4,"spike 10^3",0.138601742686716
"A7",114.4,"spike 10^2",0.0783638801630677
"A8",114.4,"spike 10",0.0140101038197504
"A9",114.4,"no template",0
"A2",126.75,"Twist 10^5",1.04866407101421
"A3",126.75,"spike 10^6",1.1759704265275
"A4",126.75,"spike 10^5",1.17618262877464
"A5",126.75,"spike 10^4",1.12087939157201
"A6",126.75,"spike 10^3",0.164247718867909
"A7",126.75,"spike 10^2",0.0636966446074503
"A8",126.75,"spike 10",-0.0101952292005332
"A9",126.75,"no template",0
