"well","minutes","input","normalised_fluorescence"
"B2",0,"Twist 10^5",0
"B3",0,"spike 10^6",0
"B4",0,"spike 10^5",0
"B5",0,"spike 10^4",0
"B6",0,"spike 10^3",0
"B7",0,"spike 10^2",0
"B8",0,"spike 10",0
"B9",0,"no template",0
"B2",12.5,"Twist 10^5",-0.0430060513928163
"B3",12.5,"spike 10^6",-0.031710219126547
"B4",12.5,"spike 10^5",-0.0369958809052202
"B5",12.5,"spike 10^4",0.000364979112301933
"B6",12.5,"spike 10^3",-0.0101952052475427
"B7",12.5,"spike 10^2",-0.0477587743333776
"B8",12.5,"spike 10",-0.0304270490339846
"B9",12.5,"no template",0
"B2",25.1,"Twist 10^5",0.475290537696891
"B3",25.1,"spike 10^6",0.445445408473141
"B4",25.1,"spike 10^5",0.280756428852962
"B5",25.1,"spike 10^4",0.12547674344912
"B6",25.1,"spike 10^3",-0.000148348110877272
"B7",25.1,"spike 10^2",-0.0384065754042875
"B8",25.1,"spike 10",-0.00867538544939661
"B9",25.1,"no template",0
"B2",37.6,"Twist 10^5",1.1193161764487
"B3",37.6,"spike 10^6",1.01985665416239
"B4",37.6,"spike 10^5",0.979933328219228
"B5",37.6,"spike 10^4",0.913146219891267
"B6",37.6,"spike 10^3",0.187717828149674
"B7",37.6,"spike 10^2",-0.00813256086692493
"B8",37.6,"spike 10",0.215176050621321
"B9",37.6,"no template",0
"B2",50.3,"Twist 10^5",1.11508837596129
"B3",50.3,"spike 10^6",1.01520199098981
"B4",50.3,"spike 10^5",1.01356195240925
"B5",50.3,"spike 10^4",1.03185151729033
"B6",50.3,"spike 10^3",0.449473018098498
"B7",50.3,"spike 10^2",0.0129225571118126
"B8",50.3,"spike 10",0.557832665663305
"B9",50.3,"no template",0
"B2",63.1,"Twist 10^5",1.14435170003727
"B3",63.1,"spike 10^6",1.05308244020816
"B4",63.1,"spike 10^5",1.03089421573995
"B5",63.1,"spike 10^4",1.07379883591323
"B6",63.1,"spike 10^3",0.693309861233205
"B7",63.1,"spike 10^2",0.0341615005328089
"B8",63.1,"spike 10",0.854459397626784
"B9",63.1,"no template",0
"B2",75.65,"Twist 10^5",1.13285816307753
"B3",75.65,"spike 10^6",1.04955507584533
"B4",75.65,"spike 10^5",1.01714307775522
"B5",75.65,"spike 10^4",1.07870533151478
"B6",75.65,"spike 10^3",0.833604768843476
"B7",75.65,"spike 10^2",0.0644233798938307
"B8",75.65,"spike 10",0.95986789512878
"B9",75.65,"no template",0
"B2",88.1,"Twist 10^5",1.10240915429534
"B3",88.1,"spike 10^6",1.01695224208253
"B4",88.1,"spike 10^5",0.989371932190826
"B5",88.1,"spike 10^4",1.04498714167295
"B6",88.1,"spike 10^3",0.883064424635508
"B7",88.1,"spike 10^2",0.0939720751342792
"B8",88.1,"spike 10",0.998116482857333
"B9",88.1,"no template",0
"B2",102.1,"Twist 10^5",1.12777409950341
"B3",102.1,"spike 10^6",1.05018797352267
"B4",102.1,"spike 10^5",1.02536501578179
"B5",102.1,"spike 10^4",1.0617458729972
"B6",102.1,"spike 10^3",0.926013456222547
"B7",102.1,"spike 10^2",0.127034685718001
"B8",102.1,"spike 10",1.02226211688851
"B9",102.1,"no template",0
"B2",114.4,"Twist 10^5",1.10378551430046
"B3",114.4,"spike 10^6",1.02937957263432
"B4",114.4,"spike 10^5",1.00378905425808
"B5",114.4,"spike 10^4",1.02167372519578
"B6",114.4,"spike 10^3",0.93099123249973
"B7",114.4,"spike 10^2",0.132297979869062
"B8",114.4,"spike 10",1.00980615292716
"B9",114.4,"no template",0
"B2",126.75,"Twist 10^5",1.11111038003947
"B3",126.75,"spike 10^6",1.03653251153918
"B4",126.75,"spike 10^5",1.00038414043352
"B5",126.75,"spike 10^4",1.01312957380322
"B6",126.75,"spike 10^3",0.928829491058675
"B7",126.75,"spike 10^2",0.162046099521015
"B8",126.75,"spike 10",1.00109410963394
"B9",126.75,"no template",0
