Well,Sample,0 min ,3 min 30 s,91 min 16 s,103 min 47 s,116 min 24 s,128 min 54 s,141 min 37 s,154 min 26 s,166 min 57 s,179 min 24 s,193 min 22 s,205 min 42 s,218 min 3 s
H9,Sample X93,3575,3452,121268,111436,98491,71920,70792,70623,70250,71681,70893,72005,72226
A10,Sample X10,88514,88873,151608,149360,131808,95678,95712,94472,95078,96190,95295,96331,97045
B10,Sample X22,8644,7928,163786,156423,136341,99322,98597,97071,98112,98900,98234,98688,99586
C10,Sample X34,3268,3153,140243,142664,124952,90855,90014,89151,89928,91453,89636,90554,90730
D10,Sample X46,3353,3239,117317,106886,93749,67852,67359,66546,67459,68045,67675,68299,68874
E10,Sample X58,3264,3126,116832,106123,92463,67480,66447,65829,66592,67373,67422,67300,68198
F10,Sample X70,3311,3181,115482,105993,92592,67652,66202,65662,66429,67302,67234,66546,67734
G10,Sample X82,3725,3655,136239,124466,108716,78707,77221,76767,78496,78731,78891,78827,79611
H10,Sample X94,3167,3061,107862,100289,87746,64310,62842,61121,62424,63448,62984,63951,64053
A11,Sample X11,9108,8634,162942,156455,137072,100650,98910,98171,99104,100932,99093,100555,100378
B11,Sample X23,8025,7433,149423,143316,126279,92721,91410,90808,91927,93023,92303,91748,93154
C11,Sample X35,3632,3523,167291,160761,142224,105423,102688,101789,102341,104764,103331,103356,104220
D11,Sample X47,3425,3285,118500,110757,96450,69979,69602,68646,69218,70754,69856,70111,70499
E11,Sample X59,3273,3193,114247,105035,91665,67025,66040,64985,65841,67008,66568,66756,67256
F11,Sample X71,3379,3247,116412,107672,93561,67832,66519,66179,67473,68190,67251,67968,68340
G11,Sample X83,3358,3219,116460,105758,92982,67482,66507,65745,66458,67734,67257,67677,68184
H11,Sample X95,2783,2681,89510,82266,73124,53902,52641,51804,53207,53276,53396,53404,54029
A12,Sample X12,3248,3096,113637,104710,91905,67425,66900,65675,66139,67710,67408,67034,67674
B12,Sample X24,3190,3057,107813,100732,87571,64261,63231,63096,63435,64417,64290,64862,65501
C12,Sample X36,3149,3002,107675,99076,86867,64352,63338,62682,63489,64012,63648,64030,64890
D12,Sample X48,3308,3182,111714,101615,88634,65190,63880,62731,64074,64946,64466,65298,65476
E12,Sample X60,3283,3148,115881,104484,91470,67033,66078,65185,65462,67174,66566,67038,67222
F12,Sample X72,3076,2952,107648,98994,86773,64207,62368,61773,62367,63503,63003,63236,64051
G12,Sample X84,3047,2924,105872,96372,85440,62658,61749,61449,61913,62724,62734,62819,62850
H12,Sample X96,3097,2942,103812,95080,83488,62144,60516,59830,61635,61615,61808,61066,61377
